wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
74,40,190,30,72,1443,8,18.17567568,True,True,0.8950610328907856,True,0.7,True,0.9999999925494194,AdaBoost,AdaBoost,True,0.9999999925494194
9,19,39,13,5,178,1,18.55555556,True,False,0.17876770195242606,False,0.3,False,0.14285714285714285,AdaBoost,AdaBoost,False,0.14285714285714285
13,28,37,6,6,172,1,12.0,False,True,0.5681068355354787,False,0.3,False,0.179128784747792,AdaBoost,AdaBoost,False,0.179128784747792
5,3,13,2,5,48,0,8.4,False,False,0.0838391809374097,False,0.1,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
4,11,17,3,2,77,1,18.0,False,False,0.12011828682247465,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
9,83,9,3,9,9,0,0.0,False,True,0.5141205260862253,False,0.2,True,0.8,RandomForest,RandomForest,False,0.2
7,3,22,0,7,68,0,8.714285713999999,False,False,0.43386504594149256,False,0.1,False,7.450580541412699e-09,AdaBoost,AdaBoost,False,7.450580541412699e-09
15,9,40,7,12,286,1,17.86666667,False,False,0.1420136739847583,False,0.5,False,0.28989794855663564,AdaBoost,AdaBoost,False,0.28989794855663564
27,33,78,13,24,394,5,13.37037037,False,True,0.5247892627472289,False,0.1,False,0.179128784747792,AdaBoost,AdaBoost,False,0.179128784747792
31,97,31,16,31,33,0,0.0,False,False,0.4937714771609356,False,0.1,False,7.450580541412699e-09,AdaBoost,AdaBoost,False,7.450580541412699e-09
9,17,28,8,7,127,1,12.88888889,False,False,0.13053247707048607,False,0.3,False,0.179128784747792,AdaBoost,AdaBoost,False,0.179128784747792
37,19,107,0,30,659,0,16.40540541,False,True,0.6106931562156909,False,0.3,False,0.21393876913398133,AdaBoost,AdaBoost,False,0.21393876913398133
2,3,16,1,1,98,0,48.0,False,False,0.08127939529049613,False,0.0,False,0.03365435280917359,AdaBoost,AdaBoost,False,0.03365435280917359
15,13,64,0,14,411,0,26.0,True,False,0.1425358929873603,False,0.2,False,0.3374586125443877,AdaBoost,AdaBoost,False,0.3374586125443877
2,30,65,29,2,412,3,203.5,False,False,0.4263516766040867,False,0.0,False,0.4001847813477322,AdaBoost,AdaBoost,False,0.4001847813477322
8,6,22,1,6,145,0,16.375,False,False,0.10365681802490777,False,0.1,False,0.20290520986992985,AdaBoost,AdaBoost,False,0.20290520986992985
5,6,14,4,4,60,2,10.2,False,False,0.09387427784057382,False,0.0,False,0.19238284032019007,AdaBoost,AdaBoost,False,0.19238284032019007
7,10,63,8,5,1034,0,146.71428569999995,False,True,0.8292231949094805,False,0.5,True,0.5089890524540996,RandomForest,RandomForest,False,0.5
14,2,19,1,7,97,0,5.5,False,False,0.1525358641963098,False,0.0,False,0.1842253778704026,AdaBoost,AdaBoost,False,0.1842253778704026
20,4,30,2,18,183,0,7.95,False,False,0.09922870496548684,False,0.3,False,0.2751591043201361,AdaBoost,AdaBoost,False,0.2751591043201361
5,13,30,10,3,149,1,28.6,False,False,0.11271271990580015,False,0.0,False,0.07461722857684726,AdaBoost,AdaBoost,False,0.07461722857684726
13,14,35,4,13,204,2,14.53846154,False,False,0.4393500555054488,False,0.4,False,0.3234124816521072,AdaBoost,AdaBoost,False,0.3234124816521072
12,7,63,0,5,939,0,76.33333333,False,False,0.3727284299345118,False,0.3,False,0.4855101713330526,AdaBoost,AdaBoost,False,0.4855101713330526
2,2,18,1,2,99,0,47.5,False,False,0.07211570982159479,False,0.0,False,0.02585919252696776,AdaBoost,AdaBoost,False,0.02585919252696776
5,7,26,6,3,158,0,30.2,False,False,0.10254867778573312,False,0.0,False,0.04088879699354033,AdaBoost,AdaBoost,False,0.04088879699354033
6,27,6,2,6,6,0,0.0,False,False,0.0873423155493994,False,0.4,False,0.15687600400181256,AdaBoost,AdaBoost,False,0.15687600400181256
4,4,5,1,2,17,1,3.0,False,False,0.0949577177736122,False,0.1,False,0.13976090120404389,AdaBoost,AdaBoost,False,0.13976090120404389
11,7,12,2,11,74,1,5.272727273,False,False,0.07719686221300136,False,0.1,False,0.03656499547168099,AdaBoost,AdaBoost,False,0.03656499547168099
12,19,12,6,12,12,0,0.0,False,False,0.4088241071639749,False,0.4,False,0.3560930551515172,AdaBoost,AdaBoost,False,0.3560930551515172
1,7,1,1,1,1,0,0.0,False,False,0.07299753909897508,False,0.0,False,0.018814649615525748,AdaBoost,AdaBoost,False,0.018814649615525748
6,21,6,5,6,6,0,0.0,False,False,0.41296748913791387,False,0.5,False,0.4919180843694294,AdaBoost,AdaBoost,False,0.4919180843694294
2,15,34,14,2,326,2,161.0,False,False,0.3730332106979104,False,0.1,False,0.08995656991278865,AdaBoost,AdaBoost,False,0.08995656991278865
5,10,44,7,5,305,2,59.4,True,False,0.11379516114029252,False,0.4,False,0.4319116905356557,AdaBoost,AdaBoost,False,0.4319116905356557
4,5,8,0,4,20,0,4.0,False,False,0.07320304344362387,False,0.0,False,0.2815868842880945,AdaBoost,AdaBoost,False,0.2815868842880945
5,6,17,2,4,112,0,21.4,False,False,0.08811258571266539,False,0.0,False,0.06426357037461547,AdaBoost,AdaBoost,False,0.06426357037461547
8,3,35,1,4,303,0,36.5,True,False,0.4750152980366898,False,0.1,False,0.1930059973880384,AdaBoost,AdaBoost,False,0.1930059973880384
8,2,13,0,6,69,0,7.375,False,False,0.0921951366910243,False,0.0,False,0.08272482658762098,AdaBoost,AdaBoost,False,0.08272482658762098
5,2,22,1,5,97,0,18.2,False,False,0.07758414421217195,False,0.3,False,0.2320816387920473,AdaBoost,AdaBoost,False,0.2320816387920473
5,3,6,3,5,24,2,3.4,False,False,0.07698472788402072,False,0.3,False,0.2034675425367697,AdaBoost,AdaBoost,False,0.2034675425367697
3,2,6,0,1,21,0,5.666666667,False,False,0.09005293994795656,False,0.0,False,0.10570784802749833,AdaBoost,AdaBoost,False,0.10570784802749833
4,12,5,1,4,24,1,4.5,False,False,0.08143382215874538,False,0.0,False,0.09434770810038648,AdaBoost,AdaBoost,False,0.09434770810038648
4,3,11,2,4,48,0,11.0,False,False,0.07178561951359093,False,0.0,False,0.1371750743253908,AdaBoost,AdaBoost,False,0.1371750743253908
3,3,7,0,3,17,0,4.666666667,False,False,0.07168213557714276,False,0.0,False,0.052493582622443184,AdaBoost,AdaBoost,False,0.052493582622443184
8,8,8,5,8,8,0,0.0,False,False,0.06869636270319783,False,0.1,False,0.3031292826728033,AdaBoost,AdaBoost,False,0.3031292826728033
6,1,7,0,6,34,0,4.333333333,False,False,0.06898477566103177,False,0.4,False,0.19565128391977826,AdaBoost,AdaBoost,False,0.19565128391977826
3,8,20,6,3,155,0,50.0,False,False,0.07664585453772697,False,0.0,False,0.03828320105439453,AdaBoost,AdaBoost,False,0.03828320105439453
3,5,9,4,3,40,2,11.33333333,False,False,0.08026481987215163,False,0.0,False,0.12622432043299325,AdaBoost,AdaBoost,False,0.12622432043299325
1,4,2,3,1,9,0,7.0,False,False,0.07930121275933154,False,0.0,False,0.029015722212618264,AdaBoost,AdaBoost,False,0.029015722212618264
47,15,108,0,45,896,0,17.63829787,False,True,0.5622477862409522,False,0.3,False,0.3738985027818049,AdaBoost,AdaBoost,False,0.3738985027818049
22,16,59,15,22,354,2,14.86363636,False,False,0.2917594602078218,False,0.3,False,0.27817384870706185,AdaBoost,AdaBoost,False,0.27817384870706185
10,17,62,0,5,491,1,47.1,True,False,0.2352469852643796,True,0.6,False,0.3803825866744836,RandomForest,RandomForest,True,0.6
2,3,3,2,2,14,1,5.0,False,False,0.07733082506346614,False,0.0,False,0.03720028517390445,AdaBoost,AdaBoost,False,0.03720028517390445
5,7,8,3,4,34,0,5.6,False,False,0.09391272948777983,False,0.0,False,0.05296601404291786,AdaBoost,AdaBoost,False,0.05296601404291786
2,6,5,3,2,12,0,5.0,False,False,0.08470018887969083,False,0.0,False,0.0617604903225755,AdaBoost,AdaBoost,False,0.0617604903225755
11,4,21,0,11,68,0,5.0,False,False,0.09523874762804677,False,0.0,False,0.015466529358983062,AdaBoost,AdaBoost,False,0.015466529358983062
59,31,148,31,57,895,1,14.15254237,False,True,0.6069553343843778,True,0.9,True,0.6251690690473717,AdaBoost,AdaBoost,True,0.6251690690473717
25,10,49,0,25,304,0,10.72,False,False,0.14555010919341774,False,0.4,False,0.13481793014911528,AdaBoost,AdaBoost,False,0.13481793014911528
6,6,36,0,5,165,0,26.16666667,False,False,0.13360451838949006,False,0.0,False,0.0726076792920912,AdaBoost,AdaBoost,False,0.0726076792920912
5,1,22,0,3,103,0,19.2,False,False,0.11652781491916793,False,0.1,False,0.02342693281351696,AdaBoost,AdaBoost,False,0.02342693281351696
3,13,22,11,2,201,3,64.0,False,False,0.1121989652582055,False,0.0,False,0.08866768314612761,AdaBoost,AdaBoost,False,0.08866768314612761
57,56,242,54,27,2550,3,43.49122807,True,True,0.9998649191587328,True,1.0,True,0.9371362112238276,AdaBoost,AdaBoost,True,0.9371362112238276
5,2,6,1,5,36,0,5.4,True,False,0.07902223700013743,False,0.0,False,0.014432270445860975,AdaBoost,AdaBoost,False,0.014432270445860975
13,14,49,4,12,298,0,21.53846154,False,False,0.4944800132892095,True,0.9,False,0.40107083273562816,AdaBoost,AdaBoost,False,0.40107083273562816
2,3,5,2,1,15,0,6.0,False,False,0.09018341296810567,False,0.0,False,0.01775233618163627,AdaBoost,AdaBoost,False,0.01775233618163627
29,21,104,20,22,733,0,24.13793103,True,True,0.9464483260850828,True,0.6,True,0.5223210809318837,AdaBoost,AdaBoost,True,0.5223210809318837
1,2,1,0,1,1,0,0.0,False,False,0.07963278948326824,False,0.0,False,0.06024769877531307,AdaBoost,AdaBoost,False,0.06024769877531307
5,4,18,0,4,76,0,13.8,False,False,0.10521930504290893,False,0.0,False,0.013201967694819287,AdaBoost,AdaBoost,False,0.013201967694819287
10,12,14,6,10,51,1,3.9,False,False,0.08963635559833118,False,0.1,False,0.032420092388777445,AdaBoost,AdaBoost,False,0.032420092388777445
21,9,58,0,15,373,0,16.33333333,False,True,0.5543979298581001,False,0.3,False,0.2115380657124636,AdaBoost,AdaBoost,False,0.2115380657124636
3,8,4,0,3,20,0,5.0,False,False,0.08417690197760619,False,0.0,False,0.004385664117259978,AdaBoost,AdaBoost,False,0.004385664117259978
25,8,90,7,21,1160,1,44.84,False,True,0.5663192840017558,True,0.6,True,0.5171699378884437,AdaBoost,AdaBoost,True,0.5171699378884437
2,6,7,4,2,18,0,8.0,False,False,0.0863012468072837,False,0.0,False,0.03168383352942055,AdaBoost,AdaBoost,False,0.03168383352942055
23,7,33,3,15,284,2,10.34782609,False,True,0.5149823525371265,False,0.4,False,0.3711237154631663,AdaBoost,AdaBoost,False,0.3711237154631663
21,12,46,5,10,281,1,12.19047619,False,False,0.24207139495998256,False,0.5,False,0.313146672665021,AdaBoost,AdaBoost,False,0.313146672665021
22,30,104,25,11,707,1,31.04545455,False,True,0.6377545497586177,False,0.5,False,0.42105730500905775,AdaBoost,AdaBoost,False,0.42105730500905775
21,12,77,0,15,797,0,36.57142857,False,False,0.39551275854103696,False,0.4,False,0.2708239270947453,AdaBoost,AdaBoost,False,0.2708239270947453
9,7,30,7,9,228,0,24.22222222,False,False,0.10950967153194513,False,0.0,False,0.16381301591856035,AdaBoost,AdaBoost,False,0.16381301591856035
12,6,31,5,9,360,1,26.58333333,False,False,0.13447748146973176,False,0.5,False,0.3935768310522069,AdaBoost,AdaBoost,False,0.3935768310522069
3,16,3,1,3,3,0,0.0,False,False,0.0912753821656151,False,0.0,False,0.02324664495622354,AdaBoost,AdaBoost,False,0.02324664495622354
38,21,104,0,29,839,1,20.71052632,True,True,0.6182939009110198,True,0.8,True,0.6092857600025621,AdaBoost,AdaBoost,True,0.6092857600025621
1,34,1,0,1,1,0,0.0,False,False,0.10908085693764047,False,0.1,False,0.015924701417018242,AdaBoost,AdaBoost,False,0.015924701417018242
2,4,5,3,2,21,1,8.5,False,False,0.07946097571483347,False,0.0,False,0.028183349784605263,AdaBoost,AdaBoost,False,0.028183349784605263
11,23,16,4,8,77,3,5.454545455,False,False,0.1465242936436388,False,0.3,False,0.22941651229392146,AdaBoost,AdaBoost,False,0.22941651229392146
3,3,5,0,1,18,1,4.666666667,False,False,0.09768913254145807,False,0.0,False,0.07917741522804883,AdaBoost,AdaBoost,False,0.07917741522804883
2,4,2,2,2,2,0,0.0,False,False,0.06531298217144255,False,0.0,False,0.07899141806323416,AdaBoost,AdaBoost,False,0.07899141806323416
25,6,26,1,25,136,1,3.96,False,False,0.08413940086292368,False,0.0,False,0.16660641849894167,AdaBoost,AdaBoost,False,0.16660641849894167
6,23,6,1,6,6,0,0.0,False,False,0.07524447651161807,False,0.0,False,0.0523649734243332,AdaBoost,AdaBoost,False,0.0523649734243332
8,5,25,5,6,145,0,16.5,False,False,0.09836670959555266,False,0.0,False,0.10035302923338216,AdaBoost,AdaBoost,False,0.10035302923338216
11,43,11,8,11,11,0,0.0,True,False,0.07167340447022727,False,0.3,False,0.29596877527999776,AdaBoost,AdaBoost,False,0.29596877527999776
1,3,2,0,1,5,0,4.0,False,False,0.06942860650997675,False,0.0,False,0.13473557907702793,AdaBoost,AdaBoost,False,0.13473557907702793
3,2,4,0,3,14,0,3.333333333,False,False,0.06893555848307845,False,0.0,False,0.21211011237237465,AdaBoost,AdaBoost,False,0.21211011237237465
10,2,12,0,10,53,0,3.9,False,False,0.06952908255540415,False,0.0,False,0.05727148745477272,AdaBoost,AdaBoost,False,0.05727148745477272
12,35,18,4,12,99,4,6.833333333,False,False,0.2725632392985836,False,0.3,False,0.2527435886269052,AdaBoost,AdaBoost,False,0.2527435886269052
9,4,11,1,9,60,2,5.222222222,False,False,0.09192160361911528,False,0.0,False,0.14056057012983655,AdaBoost,AdaBoost,False,0.14056057012983655
2,3,2,0,2,2,0,0.0,False,False,0.06900772939703216,False,0.0,False,0.1598444701747443,AdaBoost,AdaBoost,False,0.1598444701747443
11,14,24,4,10,107,0,8.272727273,True,False,0.4250809637049301,False,0.0,False,0.4449903554463577,AdaBoost,AdaBoost,False,0.4449903554463577
13,16,26,3,12,243,1,17.23076923,False,False,0.10963452545878744,False,0.2,False,0.30147111854130404,AdaBoost,AdaBoost,False,0.30147111854130404
30,27,78,12,30,543,1,16.8,False,True,0.8238486840045786,True,0.7,False,0.2464829881849011,AdaBoost,AdaBoost,False,0.2464829881849011
2,4,4,3,1,8,0,3.0,False,False,0.07187226087489072,False,0.0,False,0.11074974981078654,AdaBoost,AdaBoost,False,0.11074974981078654
14,10,39,8,13,225,2,14.71428571,False,False,0.13327975581869864,False,0.5,False,0.16718476648823075,AdaBoost,AdaBoost,False,0.16718476648823075
13,28,104,26,8,691,1,52.07692308,False,True,0.5856397945429191,False,0.4,False,0.4552232045593811,AdaBoost,AdaBoost,False,0.4552232045593811
12,9,31,8,10,170,0,12.83333333,False,False,0.4312500260053809,False,0.2,False,0.21297174048403145,AdaBoost,AdaBoost,False,0.21297174048403145
1,7,1,1,1,1,0,0.0,False,False,0.0689463168611452,False,0.0,False,0.020956912631384432,AdaBoost,AdaBoost,False,0.020956912631384432
23,57,23,16,23,23,0,0.0,False,False,0.374457609871516,False,0.4,False,0.21124758331754606,AdaBoost,AdaBoost,False,0.21124758331754606
15,12,16,3,15,104,1,5.466666667,False,False,0.07690802322588187,False,0.2,False,0.18130644502482607,AdaBoost,AdaBoost,False,0.18130644502482607
9,5,36,3,9,146,0,15.22222222,False,False,0.1067527387224917,False,0.1,False,0.17110804481056074,AdaBoost,AdaBoost,False,0.17110804481056074
21,21,38,4,21,224,1,9.476190476000001,False,False,0.11430144727964575,False,0.3,False,0.2592934550988229,AdaBoost,AdaBoost,False,0.2592934550988229
3,6,18,4,2,67,0,21.33333333,False,False,0.08647782541788747,False,0.0,False,0.019901123868962343,AdaBoost,AdaBoost,False,0.019901123868962343
157,111,312,75,142,2701,12,15.89808917,False,True,0.6654865899655397,False,0.5,True,0.6000847691783093,RandomForest,RandomForest,False,0.5
14,57,32,0,13,277,0,18.28571429,False,False,0.2413759358423256,False,0.1,False,0.25930266903147114,AdaBoost,AdaBoost,False,0.25930266903147114
5,11,14,3,3,72,1,13.2,False,False,0.10519454235531182,False,0.1,False,0.0627738148148367,AdaBoost,AdaBoost,False,0.0627738148148367
6,11,6,2,6,6,0,0.0,False,False,0.0674635552727395,False,0.3,False,0.3796275154084297,AdaBoost,AdaBoost,False,0.3796275154084297
3,2,5,1,3,22,1,6.0,False,False,0.07865601461988836,False,0.0,False,0.07894447314727825,AdaBoost,AdaBoost,False,0.07894447314727825
25,62,25,8,25,25,0,0.0,False,False,0.3905612183223257,False,0.2,False,0.2563317514659027,AdaBoost,AdaBoost,False,0.2563317514659027
8,11,17,3,8,54,1,5.5,False,False,0.09046285922920803,False,0.0,False,0.07490936538427981,AdaBoost,AdaBoost,False,0.07490936538427981
6,9,9,3,5,52,3,7.0,False,False,0.11470861346850633,False,0.2,False,0.100087136062951,AdaBoost,AdaBoost,False,0.100087136062951
11,6,12,2,11,78,1,5.6363636360000005,False,False,0.07631318485383796,False,0.1,False,0.10543500284507457,AdaBoost,AdaBoost,False,0.10543500284507457
32,33,84,0,8,670,0,19.78125,False,False,0.4971216394292941,False,0.4,False,0.5,AdaBoost,AdaBoost,False,0.5
17,6,29,5,17,167,0,8.470588235,False,False,0.04137477753189315,False,0.2,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
3,7,12,5,1,53,0,16.66666667,False,False,0.06676086335707054,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
7,54,7,0,7,7,0,0.0,False,False,0.14038143083663815,False,0.1,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
9,13,38,12,8,197,1,20.66666667,False,False,0.42827114705858055,False,0.4,True,0.6000000000000001,AdaBoost,AdaBoost,True,0.6000000000000001
28,17,70,17,21,488,0,16.21428571,False,False,0.2377995402524601,False,0.2,False,0.4000000000000001,AdaBoost,AdaBoost,False,0.4000000000000001
1,7,1,2,1,1,0,0.0,False,False,0.04908327679076555,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
6,3,9,1,6,40,0,5.5,False,False,0.048468007292661465,False,0.2,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
