cbo,rfc,ce,npm,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
11,27,11,5,0.333333333,False,False,0.4183180781973272,False,0.2,False,0.3062821638551509,AdaBoost
12,23,4,18,0.37037037,False,True,0.6565266808092751,True,0.9,True,0.5390175199548787,AdaBoost
4,1,3,1,1.0,False,False,0.07595153719559262,False,0.0,False,0.025930471046525547,AdaBoost
9,38,3,15,0.242647059,False,False,0.2634915065106043,False,0.1,False,0.2172203459183272,AdaBoost
7,9,3,9,0.28571428600000004,False,False,0.22501717073127625,False,0.3,False,0.2890748806670128,AdaBoost
11,26,11,4,0.5,False,False,0.323706860213174,False,0.2,False,0.021433356381261297,AdaBoost
5,11,1,3,0.5555555560000001,False,False,0.06776660917934449,False,0.0,False,0.04945321864191398,AdaBoost
4,14,4,4,0.4375,False,False,0.14856764695846827,False,0.1,False,0.1605123270505852,AdaBoost
74,63,3,55,0.11328671300000001,False,False,0.4081705213573945,False,0.0,False,0.08157767904656209,AdaBoost
23,66,23,21,0.16558441599999998,False,True,0.9927786032175444,False,0.5,True,0.5502377539416357,RandomForest
27,28,3,28,0.228571429,False,False,0.4722059025157386,False,0.1,False,0.3173282806829137,AdaBoost
1,10,1,4,0.4375,False,False,0.09674097949935463,False,0.0,False,0.022440707603035476,AdaBoost
1,41,1,2,0.35,False,False,0.0521439068399633,False,0.0,False,0.18129762200870905,AdaBoost
6,12,3,12,0.333333333,False,True,0.5658711004323952,False,0.3,False,0.3994784529794431,AdaBoost
18,23,3,16,0.1796875,False,False,0.3666682872600974,True,0.6,False,0.2844634766634743,AdaBoost
2,5,2,3,0.5,False,False,0.1495647687753632,False,0.0,False,0.29999999999999993,AdaBoost
1,6,0,2,0.5,False,False,0.10478383339822754,False,0.0,False,2.2204460492503185e-16,AdaBoost
5,2,2,2,1.0,False,False,0.07180055358363936,False,0.0,False,2.2204460492503185e-16,AdaBoost
4,14,4,4,0.4375,False,False,0.19170754470453172,False,0.0,False,2.2204460492503185e-16,AdaBoost
4,25,0,21,0.210884354,False,False,0.20164211625108355,False,0.5,False,0.29999999999999993,AdaBoost
3,0,1,0,0.0,False,False,0.20121944645484655,False,0.0,False,2.2204460492503185e-16,AdaBoost
13,74,13,23,0.204545455,True,True,0.5283367819838286,False,0.4,False,0.4000000000000001,Voting
19,56,19,11,0.173076923,True,True,0.9665309903003184,False,0.5,True,0.7,AdaBoost
4,21,2,14,0.47619047600000003,False,False,0.16465141009433104,False,0.1,False,0.2,AdaBoost
5,4,1,4,0.45,False,False,0.15213813351786035,False,0.0,False,2.2204460492503185e-16,AdaBoost
1,2,1,1,1.0,False,False,0.06203823828744767,False,0.0,False,2.2204460492503185e-16,AdaBoost
3,5,3,3,0.5,False,True,0.5048884672682179,True,1.0,True,0.9999999999999998,AdaBoost
2,2,2,1,1.0,False,False,0.07464650833686425,False,0.0,False,2.2204460492503185e-16,AdaBoost
2,6,0,6,0.916666667,False,False,0.053720883792083785,False,0.0,False,0.10000000000000002,AdaBoost
11,21,11,3,0.833333333,False,False,0.2098443776110381,False,0.4,False,0.29999999999999993,AdaBoost
8,13,6,13,0.326923077,False,True,0.6903087481075764,False,0.3,True,0.6000000000000001,RandomForest
3,22,3,12,0.27777777800000003,False,True,0.5699034334369323,False,0.5,False,0.5,AdaBoost
5,10,5,2,0.75,False,False,0.13663458938086429,False,0.1,False,2.2204460492503185e-16,AdaBoost
2,5,1,2,0.75,False,False,0.08089661061339083,False,0.0,False,2.2204460492503185e-16,AdaBoost
6,3,0,3,0.666666667,False,False,0.08024474474974425,False,0.1,False,0.10000000000000002,AdaBoost
6,24,4,4,0.4166666670000001,False,False,0.17783319197179295,False,0.0,False,0.2,AdaBoost
7,3,3,3,0.583333333,False,False,0.4871700305821904,False,0.3,False,0.2,AdaBoost
3,6,1,2,0.75,False,False,0.07739554016001325,False,0.0,False,2.2204460492503185e-16,AdaBoost
3,11,3,6,0.541666667,False,False,0.1539636719501226,False,0.3,False,0.2,AdaBoost
3,2,1,2,1.0,False,False,0.03234589214245541,False,0.0,False,0.12703739122188712,AdaBoost
6,10,4,10,0.4,True,False,0.23593773065183626,True,0.6,False,0.4510396199322498,RandomForest
16,21,3,8,0.34375,True,False,0.07762002622618704,False,0.2,False,0.2726994840667961,AdaBoost
1,11,1,6,0.428571429,False,False,0.0932750778531129,False,0.0,False,0.03833009961792709,AdaBoost
25,92,25,27,0.140740741,False,True,0.9969805574623202,True,0.9,True,0.8959236946284351,AdaBoost
8,33,3,26,0.132867133,False,False,0.4193875818030077,False,0.0,False,0.2524573417642759,AdaBoost
26,99,26,22,0.12745098,False,True,0.98778913675979,True,0.6,True,0.6700265185470843,AdaBoost
22,92,14,17,0.303921569,False,True,0.6727232019020568,True,1.0,True,0.6224871343190931,AdaBoost
6,22,5,3,0.5,False,False,0.060596824234565326,False,0.4,False,0.3182633353957849,AdaBoost
8,33,8,8,0.375,False,False,0.2515262224919737,False,0.1,False,0.06193828117469698,AdaBoost
5,15,1,8,0.34375,False,False,0.059061895214209924,False,0.1,False,0.24347694414039844,AdaBoost
11,35,2,31,0.148387097,False,False,0.4064380446192177,False,0.2,False,0.16017845832650704,AdaBoost
2,20,1,7,0.39285714299999996,False,False,0.053266075544916656,False,0.0,False,0.04248434808104632,AdaBoost
3,5,3,3,0.5,True,False,0.2995585564758337,True,0.6066666666666667,False,0.4992948809547136,RandomForest
5,10,5,2,0.75,False,False,0.10974845015754203,False,0.1,False,0.08356883705440905,AdaBoost
2,3,2,2,0.75,False,False,0.08193571096343072,False,0.0,False,0.18700143622601173,AdaBoost
4,7,2,7,0.35714285700000004,True,False,0.1372683334948536,False,0.2,False,0.357755695315712,AdaBoost
2,4,0,4,0.875,False,False,0.36623284027113984,False,0.2,False,0.3875260812009808,AdaBoost
16,114,16,11,0.13968254,True,False,0.3375284714767664,True,0.9,True,0.7659098693679633,AdaBoost
3,24,0,21,0.35714285700000004,False,False,0.21735620693752056,False,0.2,False,0.03543587061009998,AdaBoost
4,3,1,3,1.0,False,False,0.3613922372716758,False,0.5,True,0.5882808010440259,AdaBoost
21,56,21,14,0.3125,False,True,0.9921752409559872,True,0.9,True,0.7884498675505249,AdaBoost
11,65,11,24,0.302222222,False,True,0.5965824695446631,False,0.4,False,0.4343942779243941,AdaBoost
5,10,5,4,0.4375,False,False,0.18281050907669966,False,0.5,False,0.3211418598674,AdaBoost
12,14,12,2,0.75,False,False,0.2649745510813422,False,0.3,False,0.3896967981562477,AdaBoost
7,28,7,9,0.317460317,False,False,0.33226835857837217,False,0.5,False,0.33938849993816383,AdaBoost
3,5,0,5,0.533333333,False,False,0.11929805466291905,False,0.0,False,0.2540935803640133,AdaBoost
1,0,0,0,0.0,False,False,0.18262587533055388,False,0.0,False,0.014639114234715637,AdaBoost
5,24,2,16,0.1796875,False,True,0.6157256226455191,False,0.5,True,0.5885371888368526,RandomForest
7,16,3,5,0.333333333,False,False,0.1929224519509669,False,0.3,False,0.3262764898412344,AdaBoost
8,6,5,6,0.452380952,False,False,0.2539247802711228,False,0.4,False,0.4569092947572018,AdaBoost
11,17,9,4,0.5,False,True,0.6300216870440795,False,0.4,False,0.4351533845795703,AdaBoost
2,19,2,3,0.5,False,False,0.11824105010318675,False,0.0,False,0.04478587947270123,AdaBoost
5,24,0,23,0.295652174,False,True,0.6123047227887358,False,0.4,True,0.6612311266172415,RandomForest
3,1,1,1,1.0,False,False,0.0615351797013996,False,0.0,False,0.10651911866933048,AdaBoost
0,2,0,1,1.0,False,False,0.056803745934516266,False,0.0,False,0.02593114205738475,AdaBoost
4,13,1,5,0.533333333,False,False,0.11270441938864115,False,0.0,False,0.046872683245659526,AdaBoost
1,23,1,18,0.473684211,False,False,0.2091349380504753,False,0.1,False,0.08544877448827717,AdaBoost
6,14,1,13,0.35384615399999997,False,False,0.2212336022353132,False,0.0,False,0.10729452933935686,AdaBoost
18,72,18,16,0.179487179,True,True,0.9376142276212258,True,0.9,True,0.6696803043644268,AdaBoost
5,18,5,4,0.583333333,False,False,0.1638174942946996,False,0.0,False,0.09580445345919117,AdaBoost
2,2,2,1,1.0,False,False,0.07951565439399709,False,0.0,False,0.07278682988725099,AdaBoost
6,18,6,9,0.26984127,False,False,0.3307282080198706,False,0.3,False,0.35228373021205617,AdaBoost
5,15,5,5,0.5,False,False,0.20759947211481156,False,0.2,False,0.3101918246427769,AdaBoost
7,32,7,11,0.46153846200000004,False,False,0.2954004993859141,False,0.2,False,0.29320960969155324,AdaBoost
2,2,2,1,1.0,False,False,0.07951565439399709,False,0.0,False,0.07278682988725099,AdaBoost
3,0,1,0,0.0,False,False,0.1974616036749155,False,0.0,False,0.03657385794251817,AdaBoost
3,14,2,8,0.40625,False,False,0.14824214549474454,False,0.0,False,0.11438855388451795,AdaBoost
4,12,1,7,0.571428571,False,False,0.09251243126972908,False,0.0,False,0.12266884259361513,AdaBoost
3,0,1,0,0.0,False,False,0.1218889592720804,False,0.0,False,0.09627290659815084,AdaBoost
2,11,2,4,0.4375,False,False,0.11713477201767145,False,0.0,False,0.05951269370429154,AdaBoost
2,2,0,2,0.75,False,False,0.0574041321901849,False,0.0,False,0.10278887225897927,AdaBoost
7,23,7,6,0.38888888899999996,False,False,0.2310032420024189,False,0.0,False,0.10957713930272167,AdaBoost
9,33,2,24,0.182291667,False,False,0.3873880195967319,False,0.3,False,0.3366455485420213,AdaBoost
6,44,6,11,0.545454545,False,True,0.5630786587268529,False,0.0,False,0.17842188854198152,AdaBoost
1,2,0,1,1.0,False,False,0.04407798989400447,False,0.0,False,0.08466083011509841,AdaBoost
7,16,7,6,0.3666666670000001,False,False,0.2456011395209816,False,0.0,False,0.1691490767831515,AdaBoost
4,15,0,11,0.290909091,False,False,0.1552368602352791,False,0.0,False,0.07154655488307651,AdaBoost
1,8,0,2,0.5,False,False,0.0714523935717749,False,0.0,False,0.016541630809045697,AdaBoost
22,110,22,40,0.131578947,False,True,0.6599872524952056,True,0.7,True,0.5125404189425394,AdaBoost
8,12,8,4,0.875,True,False,0.15412100900799186,False,0.3,False,0.19069789757729516,AdaBoost
1,8,0,4,0.666666667,False,False,0.0684957588542026,False,0.0,False,0.026806606963002397,AdaBoost
2,12,1,3,0.5555555560000001,False,False,0.07671291245609951,False,0.0,False,0.05403799043170991,AdaBoost
13,30,13,2,0.46666666700000003,False,True,0.7189923057586961,False,0.0,False,0.1517424112685227,AdaBoost
11,46,11,18,0.194444444,False,True,0.5892743487134932,True,0.6,False,0.4559545364897494,AdaBoost
4,6,4,4,0.4,True,False,0.1681377713629273,True,0.7,False,0.3615254280236509,RandomForest
3,10,3,3,0.5,False,False,0.1178752882837205,False,0.1757142857142857,False,0.21337608181818246,AdaBoost
19,68,19,16,0.148606811,False,True,0.9678952431127836,True,1.0,True,0.8325949012812519,AdaBoost
4,4,1,3,0.666666667,False,False,0.07091406437683445,False,0.0,False,0.12508795843995316,AdaBoost
36,166,36,37,0.126388889,False,True,0.6633504382444456,False,0.5,True,0.6250850955019251,RandomForest
9,20,5,20,0.407142857,False,True,0.6597844296517293,True,0.7,True,0.6536667943266904,AdaBoost
4,10,4,3,0.833333333,False,False,0.4481645335256668,False,0.3,False,0.18670511438757065,AdaBoost
15,21,1,14,0.28571428600000004,False,True,0.55232115633997,True,0.8,True,0.6868435839062381,AdaBoost
11,33,11,7,0.25,False,False,0.4563674931899673,False,0.0,False,0.20298410402161005,AdaBoost
1,11,0,7,0.35714285700000004,False,False,0.12388875774147726,False,0.0,False,0.15383386221897272,AdaBoost
6,7,3,7,0.46428571399999996,True,False,0.4895155411148038,False,0.5,False,0.3901162682928096,AdaBoost
19,36,19,9,0.314814815,True,True,0.6430664497125046,False,0.4,False,0.3786164243638833,Voting
2,19,2,15,0.20952381,False,False,0.2217859100627766,False,0.1,False,0.1009854925318709,AdaBoost
4,3,2,3,0.666666667,False,False,0.11758416917508,False,0.2,False,0.2277470572258036,AdaBoost
2,1,1,1,1.0,False,False,0.06659068283801071,False,0.0,False,0.11458354675069468,AdaBoost
2,26,2,7,0.452380952,False,False,0.109992795931837,False,0.0,False,0.1834641640492368,AdaBoost
5,19,1,13,0.23076923100000002,False,False,0.1876841755672086,False,0.1,False,0.40004912103796186,AdaBoost
24,13,5,13,0.32967033,False,False,0.3549811806319188,False,0.5,False,0.4216523226640536,AdaBoost
9,29,8,9,0.4318181820000001,False,True,0.6436722684123756,False,0.3,False,0.3064314319985258,AdaBoost
4,21,2,5,0.45,False,False,0.11199831017320132,False,0.2,False,0.05254187214873523,AdaBoost
6,2,2,2,1.0,False,False,0.07596879295184414,False,0.0,False,0.028417554939455074,AdaBoost
2,30,2,9,0.363636364,False,False,0.1321451815909174,False,0.2,False,0.4122784282183359,AdaBoost
3,1,1,1,1.0,False,False,0.06485865008848507,False,0.0,False,0.1730239254100028,AdaBoost
24,91,24,19,0.16091954,True,True,0.9731016964488272,True,0.6,False,0.4071518912127472,AdaBoost
3,8,1,4,0.666666667,False,False,0.08720274790108966,False,0.0,False,0.09582503188707313,AdaBoost
4,33,4,12,0.198529412,False,False,0.23123462481747326,False,0.2,False,0.3315819712907859,AdaBoost
6,1,3,1,1.0,False,False,0.0944470874303734,False,0.1,False,0.021807634589553204,AdaBoost
9,26,3,12,0.27777777800000003,False,True,0.5545738069990644,False,0.4,True,0.5385635859681275,RandomForest
10,11,7,11,0.33766233799999995,True,False,0.3315852030819956,False,0.5,False,0.2950529028616893,AdaBoost
27,25,4,17,0.245098039,False,False,0.3631276150251818,False,0.1,False,0.17748487652055245,AdaBoost
3,18,3,8,0.4375,False,False,0.14411738634641488,False,0.1,False,0.2473873507975565,AdaBoost
9,16,6,5,0.26666666699999997,False,False,0.2775296339564993,False,0.3,False,0.12383111090421572,AdaBoost
19,79,19,13,0.265625,True,True,0.9433692458347486,True,0.6,True,0.6158971500636882,AdaBoost
6,56,5,17,0.30909090899999997,False,False,0.3027610245720374,False,0.4,False,0.3696027611606891,AdaBoost
9,5,4,5,0.433333333,False,True,0.509288352064473,True,0.6,False,0.4433874549670773,AdaBoost
18,6,0,5,0.8,False,False,0.045363626720222185,False,0.2,False,0.12776083966183333,AdaBoost
5,29,2,23,0.204968944,True,False,0.2242432354845104,False,0.0,False,0.11772359120270758,AdaBoost
2,11,0,11,0.954545455,False,False,0.036470613527418684,False,0.0,False,0.08573789011385552,AdaBoost
17,43,4,36,0.122685185,False,False,0.3827274386936316,False,0.0,False,0.13759658831423133,AdaBoost
4,20,4,7,0.625,False,False,0.11320195602280254,False,0.3,False,0.24449378109734024,AdaBoost
3,5,3,2,0.75,False,False,0.10762951292188026,False,0.2,False,0.3969154705880884,AdaBoost
1,6,0,5,0.7,False,False,0.06474188822520564,False,0.0,False,0.018812019066979543,AdaBoost
4,6,1,5,0.6,False,False,0.0924712857787116,False,0.1,False,0.08376532361879,AdaBoost
5,4,3,4,0.55,False,False,0.14589734447320096,False,0.2,False,0.2546533791502091,AdaBoost
3,34,1,5,0.228571429,False,False,0.12123149238136666,False,0.1,False,0.2056858798068572,AdaBoost
4,0,1,0,0.0,False,False,0.19846811662189115,False,0.0,False,0.1459367862082349,AdaBoost
8,11,8,2,1.0,False,False,0.15330085530940032,False,0.4,True,0.5144923590349834,AdaBoost
3,3,1,3,1.0,True,False,0.05318937372909185,False,0.0,False,0.05200136184011801,AdaBoost
4,7,0,3,0.5,False,False,0.09090682723642614,False,0.1,False,0.2328502308038958,AdaBoost
6,22,6,4,0.4375,False,False,0.20421368881221236,False,0.0,False,0.120677239839821,AdaBoost
0,10,0,9,0.481481481,False,False,0.09339392312955724,False,0.0,False,0.08602154082245081,AdaBoost
3,0,1,0,0.0,False,False,0.1934952692687387,False,0.0,False,0.12913323297660212,AdaBoost
2,0,1,0,0.0,False,False,0.19689219017395235,False,0.0,False,0.07074927405508895,AdaBoost
6,18,1,17,0.294117647,False,False,0.2022099701713476,False,0.2,False,0.2287308559194231,AdaBoost
3,21,3,5,0.4,False,False,0.16627191815601475,False,0.3,False,0.18610020480106146,AdaBoost
2,10,2,4,0.4375,False,False,0.15068317678928667,False,0.0,False,0.0510750119545552,AdaBoost
2,2,2,1,1.0,False,False,0.07499993835577455,False,0.0,False,0.07295091875670716,AdaBoost
5,6,3,6,0.7777777779999999,False,False,0.3956772728743365,False,0.4714285714285714,False,0.3152522586900224,AdaBoost
3,8,1,4,0.666666667,False,False,0.08768635439089892,False,0.0,False,0.11374541332615745,AdaBoost
13,20,6,20,0.32857142899999997,True,False,0.34358312773923805,False,0.0,False,0.2177073251436703,AdaBoost
6,9,4,1,0.666666667,False,False,0.12498025289551767,False,0.0,False,0.05636497034793215,AdaBoost
7,16,2,15,0.24444444399999998,False,False,0.2327076192463341,False,0.1,False,0.12205645782639656,AdaBoost
2,3,2,2,1.0,False,False,0.07434953341464741,False,0.1,False,0.18079042952484428,AdaBoost
4,19,2,4,0.583333333,False,False,0.10016099740861133,False,0.1,False,0.05277446532617519,AdaBoost
1,2,1,1,1.0,False,False,0.06425169639882576,False,0.0,False,0.1008756515924286,AdaBoost
9,2,0,1,1.0,False,False,0.03337211232316208,False,0.0,False,0.013961347087061482,AdaBoost
6,1,0,1,1.0,False,False,0.04033923036669048,False,0.0,False,0.00418890489804442,AdaBoost
6,20,1,19,0.294736842,False,False,0.2055274903310971,False,0.2,False,0.3029011146005012,AdaBoost
3,15,0,14,0.33928571399999996,False,False,0.16040275276230348,False,0.0,False,0.15126317552534105,AdaBoost
6,15,3,4,0.5,False,False,0.1392328678188031,False,0.3,False,0.41264605301207136,AdaBoost
8,10,2,10,0.58,False,False,0.12018814483585034,False,0.2,False,0.30158803911957593,AdaBoost
3,0,1,0,0.0,False,False,0.1934952692687387,False,0.0,False,0.12913323297660212,AdaBoost
2,2,2,1,1.0,False,False,0.07499993835577455,False,0.0,False,0.07295091875670716,AdaBoost
8,57,8,18,0.27777777800000003,False,False,0.4445374686134912,False,0.2,False,0.1866793072356931,AdaBoost
7,29,7,8,0.45,False,False,0.3274131580658776,False,0.1,False,0.224936353959668,AdaBoost
5,21,1,14,0.28571428600000004,True,False,0.2249417389433908,False,0.0,False,0.044117698271212466,AdaBoost
19,36,12,11,0.214285714,False,True,0.8877807035369653,True,0.8,True,0.5785055071503997,AdaBoost
4,14,4,4,0.4375,False,False,0.2290070108780148,False,0.0,False,0.1611353642171175,AdaBoost
6,34,6,11,0.238636364,False,False,0.3495592420500602,False,0.2,False,0.3595589043601206,AdaBoost
8,29,8,9,0.314814815,False,False,0.4106535287715361,False,0.3,False,0.2876430578321154,AdaBoost
1,8,0,7,0.35714285700000004,False,False,0.17426065929527815,False,0.1,False,0.4156299342872409,AdaBoost
2,8,1,4,0.666666667,False,False,0.1084301441815314,False,0.0,False,0.035244111854507834,AdaBoost
55,128,32,39,0.18560606100000002,False,True,0.9848007398926388,True,0.8,True,0.6297430784505758,AdaBoost
1,2,0,1,1.0,False,False,0.0584651049376609,False,0.0,False,0.1285436154084587,AdaBoost
2,10,2,2,0.666666667,False,False,0.1164458008504764,False,0.0,False,0.006548737952202485,AdaBoost
4,4,2,4,0.625,False,False,0.1519004167748349,False,0.4,False,0.13576006229332133,AdaBoost
6,4,2,4,1.0,False,False,0.08152686711936875,False,0.0,False,0.10770710540067786,AdaBoost
16,53,16,16,0.176870748,True,True,0.9557240570269488,True,0.9,True,0.8265671415921039,AdaBoost
5,19,5,6,0.611111111,False,False,0.19560921729373407,False,0.0,False,0.06915591549291238,AdaBoost
2,2,2,1,1.0,False,False,0.08823677494455996,False,0.0,False,0.07348740028530462,AdaBoost
4,8,2,8,0.541666667,False,False,0.18345568897550404,False,0.3,False,0.4168452228185327,AdaBoost
2,7,2,3,0.5555555560000001,False,False,0.15635906311689454,False,0.1,False,0.2588800014636256,AdaBoost
30,93,30,16,0.13888888900000002,True,True,0.6607907791756676,True,0.8,False,0.4783013545850806,AdaBoost
2,8,0,4,0.666666667,False,False,0.09087332202790603,False,0.0,False,0.03364360794989678,AdaBoost
4,4,1,3,0.666666667,False,False,0.11580410799543163,False,0.1,False,0.1376759085989192,AdaBoost
7,15,1,14,0.342857143,False,False,0.2366660313092519,False,0.0,False,0.10904698269171492,AdaBoost
2,0,1,0,0.0,False,False,0.20695670821530146,False,0.0,False,0.051072885410154416,AdaBoost
