wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
12,12,37,5,7,319,0,0,24.75,7,True,True,0.5401655105346531,True,0.7,True,0.6506020541331426,Voting
26,17,31,13,4,193,1,0,5.961538462,4,False,False,0.1728205927587739,True,0.7,True,0.5157331743961432,Voting
4,7,16,1,6,76,0,0,17.75,5,True,False,0.08708620448516423,False,0.5,True,0.6151140556799057,AdaBoost
3,13,28,0,13,142,0,0,46.33333333,9,False,False,0.15008808667811974,False,0.0,False,0.14943697139113127,Voting
23,18,70,2,17,537,0,0,21.95652174,5,False,True,0.5811400622931383,True,0.7,False,0.43465511352582337,AdaBoost
5,14,67,1,13,695,0,0,137.8,50,False,True,0.6026876672555819,True,0.6,False,0.473046785707745,AdaBoost
43,18,44,18,0,274,0,0,4.88372093,1,False,False,0.3498019666092396,False,0.2,False,0.48120532957576,Voting
15,28,84,0,28,507,0,0,32.73333333,19,True,True,0.9670463682337402,True,0.8,True,0.7621136244209871,Voting
6,71,45,50,21,219,0,5,35.16666667,8,True,True,0.6601068282192788,False,0.5,True,0.6333320214300099,Voting
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.08704574284821087,False,0.0,False,0.08651885128036325,Voting
5,13,26,7,6,151,0,0,28.8,5,True,False,0.140849689406951,False,0.5,False,0.15574415098939354,Voting
6,12,22,2,10,194,0,0,31.0,9,False,False,0.11186159878460243,False,0.1,False,0.2403387194672223,Voting
16,34,52,24,12,428,0,4,25.3125,29,True,True,0.9751907518525076,True,0.6,True,0.6409989681178061,Voting
1,2,1,2,0,1,0,0,0.0,1,False,False,0.06465915588429373,False,0.0,False,0.08898498121373576,Voting
4,6,16,0,6,97,0,0,21.5,7,False,False,0.08519475487452248,False,0.2,False,0.3626008753432839,Voting
28,31,106,2,29,828,3,0,28.10714286,17,True,True,0.9960264359033932,True,0.9,True,0.9595047932328808,Voting
4,10,29,0,10,133,0,0,32.0,6,False,False,0.14375694075248865,False,0.1,False,0.14630458285650705,Voting
3,6,6,2,5,18,0,0,5.0,1,False,False,0.0660192367774206,False,0.0,False,0.10945897303556404,Voting
7,8,17,3,5,151,0,0,19.57142857,5,False,False,0.08430682449750093,True,0.7,True,0.5570116679344627,Voting
1,10,1,9,1,1,0,0,0.0,1,False,False,0.07108732218840172,False,0.1,False,0.31165901743048835,Voting
3,83,6,83,0,17,0,0,4.333333333,0,True,True,0.5159116730880077,False,0.4,False,0.4930989000659258,Voting
4,13,21,1,12,178,0,3,43.5,9,False,True,0.8041659257804193,False,0.3,False,0.4612974204184079,Voting
6,10,13,0,10,35,0,0,4.833333333,1,False,False,0.3967647087274784,False,0.1,False,0.030601256127637262,Voting
3,11,35,0,11,200,0,0,64.33333333,11,False,True,0.5036862684343644,False,0.4,True,0.5104078798086119,RandomForest
5,21,47,2,19,242,0,0,47.0,4,False,False,0.4726856357511766,False,0.4,True,0.5217942627750166,Voting
8,3,42,0,3,202,0,4,24.0,1,True,True,0.954123919812186,False,0.4,True,0.5792045026676613,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.0746359887150755,False,0.0,False,0.023321644595343523,Voting
4,11,29,0,11,212,0,0,51.25,15,False,False,0.1416223289712569,False,0.0,False,0.14526566060894727,Voting
6,17,32,1,16,242,1,0,37.83333333,13,True,True,0.6450210251579677,True,0.7,True,0.6802804584039559,Voting
5,7,18,1,6,153,2,0,28.8,4,False,False,0.4977149177991804,False,0.3,False,0.40636523837594507,Voting
5,22,66,2,20,493,0,0,96.8,1,True,True,0.6231073226008671,False,0.3,False,0.4480609082508762,Voting
0,0,0,0,0,0,0,0,0.0,0,False,False,0.07753512796948174,False,0.0,False,0.01854474718294653,Voting
4,9,29,0,9,218,0,0,52.75,16,False,False,0.13535050558367348,False,0.1,False,0.3340129620602585,Voting
3,5,7,1,4,40,2,0,11.66666667,3,True,False,0.11789020365583228,False,0.4,False,0.3791956656399561,Voting
5,12,10,3,9,46,2,0,7.6,1,False,False,0.4637867076011317,False,0.3,False,0.22386370579194828,Voting
11,16,45,3,13,250,3,0,21.18181818,14,False,True,0.9015406104349802,True,1.0,True,0.8648430114235889,Voting
3,4,3,2,2,3,0,0,0.0,1,False,False,0.06690224776768212,False,0.0,False,0.02275096905070864,Voting
2,6,7,1,5,36,1,0,16.0,1,False,False,0.09325173502847234,False,0.2,False,0.2606231239825774,Voting
3,10,16,0,10,56,0,0,17.66666667,4,False,False,0.0958996955025678,False,0.1,False,0.14973829184324738,Voting
3,11,27,0,11,145,0,0,47.33333333,10,False,False,0.12990886038599675,False,0.1,False,0.4727016737720498,Voting
8,8,32,2,6,219,2,0,26.0,15,True,True,0.6124063065589426,True,0.9,True,0.6394984545739918,Voting
3,2,4,2,0,20,0,0,5.333333333,1,False,False,0.06979938498714885,False,0.0,False,0.09674140738418584,Voting
4,5,9,0,5,31,0,0,6.5,1,False,False,0.07096221034582001,False,0.0,False,0.026175305998221213,Voting
4,24,17,15,9,59,0,0,13.5,1,False,False,0.16503590282019415,False,0.4,False,0.2926892038242126,Voting
22,4,44,1,4,388,1,0,16.13636364,16,True,True,0.5948872352496699,False,0.5,True,0.5675943921791766,Voting
6,4,26,1,4,171,0,0,27.16666667,1,True,False,0.12334605845532688,False,0.0,False,0.16143274780547448,Voting
5,11,28,1,10,122,0,0,23.2,6,False,False,0.14299228713756842,False,0.1,False,0.43623878554410656,Voting
10,8,20,7,1,148,0,0,13.5,2,False,False,0.4318429346498676,False,0.0,False,0.3384892969286384,Voting
2,8,2,6,2,2,0,0,0.0,1,False,False,0.08361430313953358,False,0.0,False,0.2185611134640503,Voting
4,9,13,0,9,35,0,2,7.75,1,False,False,0.1517539999492626,False,0.1,False,0.36241184223159895,Voting
6,13,6,12,1,6,0,0,0.0,1,False,False,0.40689429905718094,True,0.6,True,0.5472081156858825,Voting
5,12,19,4,8,159,0,0,30.6,9,False,False,0.10351652961473566,False,0.2,False,0.11858656434087525,Voting
6,6,22,4,3,154,0,0,24.5,7,False,False,0.11984044365408845,False,0.3,False,0.3682708415988086,Voting
5,9,42,0,9,384,0,0,73.0,28,False,True,0.7910702381628392,True,0.7,True,0.7849371239560238,Voting
7,9,51,1,9,334,0,0,46.14285714,23,False,True,0.7999906100676054,True,0.7,True,0.6406825017785911,Voting
25,32,86,11,21,740,2,0,28.12,11,True,True,0.9877826235986574,True,0.9,True,0.959429501397601,Voting
8,10,29,2,8,167,1,0,19.625,6,True,False,0.16016368577372855,False,0.5,False,0.4978817704111075,Voting
10,7,11,4,3,46,1,0,3.3,1,False,False,0.06132849894835851,False,0.1,False,0.3043776862259056,Voting
2,2,4,1,1,10,0,0,4.0,1,False,False,0.07060891296134696,False,0.0,False,0.051546393864241084,Voting
6,10,21,2,8,232,0,0,37.0,10,False,False,0.109329025749169,False,0.5,False,0.4603335056064806,Voting
15,14,53,3,11,307,2,1,19.13333333,18,False,True,0.9364109700106672,True,0.8,True,0.561362503239651,Voting
27,11,90,1,11,845,0,2,29.74074074,11,False,True,0.993998865348592,True,0.7,True,0.713736848296419,Voting
3,7,13,0,7,41,0,0,12.66666667,3,False,False,0.08165149943881801,False,0.0,False,0.15263516215587628,Voting
3,8,14,0,8,45,0,0,14.0,3,False,False,0.08306274988785405,False,0.0,False,0.08216177271594076,Voting
4,5,9,0,5,30,0,0,6.25,1,False,False,0.06677155648205284,False,0.0,False,0.03600998032211593,Voting
4,8,25,0,8,218,0,0,51.5,14,False,False,0.4572680845159367,False,0.0,False,0.22405534815492786,Voting
2,8,4,6,2,9,0,0,3.5,1,False,False,0.07905630510995648,False,0.0,False,0.3299358120014031,Voting
4,10,31,0,10,456,0,0,113.0,18,False,True,0.5814539740539767,True,0.6,False,0.3951734578577864,AdaBoost
4,11,29,0,11,191,0,0,46.25,14,False,False,0.14839611635565644,False,0.0,False,0.09573369229335653,Voting
3,11,31,0,11,225,0,0,74.0,13,False,False,0.4689958740007432,False,0.5,True,0.583411059855334,Voting
8,27,64,0,27,313,1,0,37.875,2,True,True,0.9420108104781668,True,0.6,True,0.7021218907974613,Voting
2,5,2,3,2,2,0,0,0.0,1,False,False,0.06879921334456528,False,0.0,False,0.052957964064547086,Voting
7,13,50,1,12,488,1,0,68.14285714,39,True,True,0.6052853215540686,False,0.5,False,0.4993079939287766,Voting
12,15,28,1,14,117,1,3,8.583333332999999,1,False,False,0.4874253907887885,False,0.5,False,0.4571015002731522,Voting
6,7,12,6,2,56,0,0,7.833333333,1,False,False,0.07855100406529165,False,0.0,False,0.472725985586715,Voting
6,12,56,1,11,606,0,4,99.33333333,15,True,True,0.6562212739766028,False,0.3,True,0.5798804515126702,Voting
9,10,12,8,2,70,1,0,6.0,1,False,False,0.1016732684999398,False,0.2,False,0.16952084679575805,Voting
10,15,39,2,13,210,0,0,19.8,9,True,True,0.5118093103409241,True,0.6,True,0.6571619736634585,Voting
8,4,8,4,0,8,0,0,0.0,1,False,False,0.05673441546007245,False,0.0,False,1.2862197374474625e-12,Voting
4,4,8,0,4,27,0,0,5.5,1,False,False,0.05656701201503014,False,0.0,False,3.67663074791664e-05,Voting
17,17,62,2,16,329,0,0,17.82352941,12,False,True,0.8621423345933562,True,0.7,True,0.6592074478572734,Voting
14,30,69,1,29,511,2,0,35.07142857,17,True,True,0.9311701815732172,True,0.9,True,0.9999999999989498,Voting
4,13,21,4,9,132,0,0,31.75,6,False,False,0.1017468402923956,False,0.4,False,4.502897479279408e-05,Voting
4,14,30,0,14,161,0,0,38.0,8,False,False,0.4621930491017645,False,0.4,False,0.16952084734742878,Voting
1,5,1,3,2,1,0,0,0.0,1,False,False,0.06525099149838944,False,0.0,False,3.465437061369827e-11,Voting
3,8,14,0,8,45,0,0,14.0,3,False,False,0.06596271248770609,False,0.0,False,2.2204460492503185e-16,Voting
4,19,69,1,18,598,0,0,147.5,40,False,True,0.6136436122360112,False,0.3,False,0.3184008490132217,Voting
7,20,32,17,4,220,0,0,30.14285714,7,False,False,0.2743802358084493,True,0.8,True,0.9999538638873051,Voting
4,18,38,2,16,268,1,0,65.75,27,True,False,0.4566856150075926,True,0.7,True,0.6021800616056054,Voting
6,10,20,4,7,106,1,2,16.16666667,2,False,True,0.5534937664100771,True,0.6,False,0.4223361055615926,AdaBoost
9,24,45,0,24,235,0,0,24.66666667,7,True,True,0.7479009320267216,True,0.7,True,0.7658060889751199,Voting
9,11,45,0,11,351,0,0,37.77777778,1,True,True,0.6294109086854991,False,0.5,True,0.5022729622432697,Voting
2,13,16,1,13,88,0,2,43.0,6,True,False,0.4706293318602939,False,0.4,False,0.16952084734742878,Voting
20,14,71,3,12,677,3,0,32.3,34,True,True,0.6545792876823502,True,0.7,True,0.5879907730654863,Voting
5,7,33,1,6,207,0,0,39.4,5,False,False,0.20508005085130165,False,0.5,False,0.387690203661036,Voting
3,2,7,1,1,43,0,2,13.33333333,2,False,False,0.131798577097762,False,0.5,False,4.938151617389218e-05,Voting
7,48,7,48,1,7,0,0,0.0,1,True,True,0.5051639842519654,False,0.2,False,6.960898169835912e-09,Voting
3,9,15,1,8,50,0,0,15.33333333,3,True,False,0.07330008031804439,False,0.0,False,0.11978243805563472,Voting
11,11,38,2,9,336,1,0,29.09090909,3,False,True,0.6136754027863408,False,0.4,True,0.9954518453540744,RandomForest
2,10,8,1,10,38,0,2,18.0,3,False,False,0.08495395237876863,False,0.3,False,8.843131210597502e-05,Voting
67,44,172,9,37,1449,5,0,20.164179100000002,49,True,True,0.9988449671386724,True,0.7,True,0.9999389685689559,Voting
3,11,32,0,11,232,0,0,75.33333333,16,True,False,0.11628071296639544,False,0.1,False,0.14252237672396387,Voting
5,26,18,19,7,154,0,0,26.8,5,False,False,0.1518872061943833,False,0.4,False,0.4013904087324759,Voting
14,15,26,8,7,159,2,0,9.928571429,9,False,False,0.1725949757047889,True,0.6,True,0.5113301890231301,Voting
18,2,28,1,1,200,0,0,9.666666667000001,1,False,False,0.3777119141402627,False,0.4,False,0.34427992046648986,Voting
4,5,9,0,5,31,0,0,6.5,1,False,False,0.05842132879135337,False,0.0,False,0.04926948683565782,Voting
2,4,5,4,0,88,0,0,28.5,0,True,False,0.3961196966450333,False,0.4,False,0.3504517440489295,Voting
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.08098025907673008,False,0.0,False,0.10595952859031398,Voting
3,9,13,1,8,113,1,0,35.66666667,1,False,False,0.1028681273047849,False,0.3,False,0.4929658914352352,Voting
3,12,24,0,12,94,0,0,30.33333333,8,False,False,0.10415301076894123,False,0.0,False,0.04299664090066405,Voting
7,10,37,1,9,227,0,0,31.14285714,20,False,False,0.1473077290029227,False,0.5,True,0.5305469687988407,Voting
3,10,21,0,10,110,0,0,35.66666667,9,False,False,0.08635306803056791,False,0.1,False,0.04061671995772775,Voting
3,12,31,0,12,144,0,0,47.0,11,True,False,0.12835675239718913,False,0.0,False,0.13665681257897802,Voting
2,6,9,0,6,20,0,0,9.0,1,False,False,0.07019198714800176,False,0.0,False,0.12218495572282265,Voting
12,10,37,2,8,390,1,0,30.91666667,30,True,True,0.6569639061867242,True,1.0,True,0.815915957160062,Voting
2,11,14,1,11,63,0,2,30.5,4,False,False,0.4940773588556743,False,0.4,False,0.455857319144547,Voting
5,11,38,1,11,220,1,4,42.8,12,False,True,0.9762631684275368,True,0.7,True,0.7397295899268951,Voting
7,7,42,3,4,558,0,0,78.57142857,12,True,True,0.6451050902653441,True,0.7,True,0.6700296184660952,Voting
16,17,66,3,14,918,0,0,56.0,16,True,True,0.6042805666036166,True,0.6,True,0.7049701581583108,Voting
2,6,6,2,4,21,0,0,9.5,2,False,False,0.06416557444818535,False,0.2,False,0.3290688845016686,Voting
7,1,8,1,0,113,0,0,14.28571429,7,False,False,0.03952020045583207,False,0.3,False,0.3601724082575831,Voting
10,11,33,4,7,248,0,0,23.1,6,True,False,0.4609683488442029,True,0.8,True,0.6057272441225495,Voting
9,10,30,7,5,235,0,0,24.22222222,3,True,False,0.1288212588417822,False,0.3,True,0.6394432035395594,AdaBoost
5,12,19,3,9,143,0,0,27.4,1,False,False,0.09044931395608936,False,0.1,False,0.28628888942814995,Voting
2,11,2,10,1,2,0,0,0.0,1,False,False,0.4128377600111495,False,0.3,False,0.30886758963933336,Voting
4,7,4,6,1,4,0,0,0.0,1,False,False,0.06011892415389011,False,0.0,False,0.014817558117921037,Voting
6,11,37,1,10,214,0,0,34.5,8,True,False,0.4964219411030146,False,0.3,False,0.471866954298481,Voting
1,0,2,0,0,4,0,0,3.0,0,False,False,0.0748183111325272,False,0.0,False,0.024700827002761404,Voting
17,11,39,2,9,535,3,3,30.05882353,21,True,True,0.9478538056731056,False,0.2,False,0.4410027721458361,Voting
3,2,4,1,1,17,0,0,4.333333333,1,False,False,0.06644331138111516,False,0.0,False,0.021352751149969082,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07483808450147646,False,0.0,False,0.013031056970878169,Voting
4,11,23,1,10,101,0,0,23.25,4,False,False,0.11293499840982567,False,0.3,False,0.3294400100503031,Voting
7,5,11,2,3,68,2,0,8.0,3,True,False,0.44001531173400776,False,0.4,False,0.34918983605769194,Voting
2,16,21,1,16,145,0,3,71.5,8,True,True,0.7666657753144749,True,0.8,False,0.4370773323574898,Voting
8,28,44,10,23,342,0,0,41.5,19,True,True,0.7163594593562514,True,0.9,True,0.6712690213811553,Voting
5,22,45,2,20,165,0,0,31.8,15,True,True,0.7890183325405679,False,0.4,True,0.5109409785596961,Voting
15,21,53,2,19,357,3,0,22.46666667,13,True,True,0.8984225354657758,False,0.5,False,0.4349470390379928,Voting
8,12,60,4,9,709,0,0,86.125,23,True,True,0.9385412334749476,True,0.8,True,0.5818759580641579,Voting
4,7,7,1,6,30,1,0,6.25,2,False,False,0.07019805450350461,False,0.2,False,0.3721149335850564,Voting
8,34,36,18,16,181,0,0,21.0,5,False,True,0.7552093305557707,True,0.8,True,0.5925445155321801,Voting
3,13,27,0,13,128,0,0,41.66666667,8,False,False,0.12430810326671655,False,0.2,False,0.12407951730268928,Voting
22,25,64,2,23,544,2,0,23.22727273,22,True,True,0.8588408845066112,True,0.9,True,0.7265676747484847,Voting
3,11,3,10,1,3,0,0,0.0,1,False,False,0.09286256490517164,False,0.1,False,0.2785295222452385,Voting
9,14,39,4,10,406,1,0,43.66666667,7,True,True,0.6476048920396861,True,0.8,False,0.39647213045018537,Voting
2,12,14,7,5,40,0,0,19.0,3,False,False,0.4586453987773687,True,0.7,True,0.6545780934479463,Voting
3,13,18,2,11,90,0,0,28.0,7,False,False,0.0885989875708026,False,0.1,False,0.2388558937839321,Voting
4,12,25,2,10,145,0,0,34.75,12,False,False,0.4595355849850534,False,0.1,False,0.3604787466894176,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07483808450147646,False,0.0,False,0.013031056970878169,Voting
9,2,12,1,1,75,2,0,6.8888888889999995,4,False,False,0.4351988852264459,False,0.4,False,0.2942807691745899,Voting
14,3,15,3,0,126,0,0,7.642857143,4,False,False,0.3811487109525441,False,0.3,False,0.06720121564182317,Voting
2,4,2,2,2,2,0,0,0.0,1,False,False,0.06632040663232358,False,0.0,False,0.039953564665047236,Voting
14,19,71,8,13,442,0,0,30.35714286,7,True,True,0.59762446285602,True,0.8,True,0.5264269994557594,Voting
4,10,22,0,10,174,0,0,42.0,15,False,False,0.09788542153050096,False,0.0,False,0.08423953544823487,Voting
1,4,1,2,2,1,0,0,0.0,1,False,False,0.07378407577375805,False,0.0,False,0.03989127797994566,Voting
4,5,9,0,5,30,0,0,6.25,1,False,False,0.06685591115619556,False,0.0,False,0.021494321619877986,Voting
3,7,16,2,5,74,0,2,23.66666667,8,True,False,0.4537153568019521,True,0.9,True,0.8842926170754711,Voting
52,78,52,72,10,52,0,0,0.0,1,False,False,0.3808305557727883,False,0.0,False,0.4053996819969539,Voting
5,7,18,1,6,80,1,5,14.8,3,True,True,0.8401366122203363,True,0.7,False,0.4954298141613438,Voting
4,7,16,0,7,48,0,6,10.75,1,True,True,0.5080476402212067,False,0.0,False,0.06672692744644575,Voting
3,5,12,1,4,33,0,0,10.0,2,False,False,0.08257674945387053,False,0.1,False,0.41804741404208107,Voting
7,8,43,1,7,245,0,0,33.85714286,12,True,False,0.18132560790678015,False,0.5,False,0.44877653632675857,Voting
5,12,31,0,12,132,0,0,24.6,1,False,False,0.1384858108385939,False,0.4,False,0.3832133515893259,Voting
4,12,24,4,8,188,0,0,46.0,10,False,False,0.12874338822115036,False,0.2,False,0.21654541037013209,Voting
22,2,22,2,0,22,0,0,0.0,1,False,False,0.020248679877856862,False,0.0,False,0.0736925246898587,Voting
3,11,26,2,9,158,0,0,51.33333333,11,False,False,0.12183161908342872,False,0.3,False,0.4951154347606307,Voting
6,5,17,2,3,76,1,0,11.0,2,False,False,0.12473595653054005,False,0.5,True,0.5329283124943912,Voting
6,11,22,2,9,202,0,0,32.33333333,8,False,False,0.11108865950100026,False,0.1,False,0.3609719721971882,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07158042248260273,False,0.0,False,0.03174765396271046,Voting
6,7,28,1,6,163,0,0,25.5,4,False,False,0.4601229759767368,False,0.4,False,0.4420630852019963,Voting
6,7,28,2,6,139,1,3,22.0,6,True,True,0.5890764628763782,True,0.8,True,0.5303049403738974,Voting
4,4,13,1,4,51,1,1,11.5,3,False,False,0.4725645737153431,True,0.6,False,0.3910132802708576,Voting
4,11,23,1,11,117,1,2,28.0,6,True,False,0.2043570730329324,False,0.1,False,0.3446808624390118,Voting
5,10,35,0,10,435,0,0,84.2,30,False,False,0.4141195410473825,True,0.6,False,0.4740696373550038,Voting
4,10,28,0,10,260,0,0,62.75,19,False,False,0.13678854055718453,False,0.1,False,0.21825839360444976,Voting
4,7,19,0,7,66,0,0,14.75,3,False,False,0.0931702846134415,False,0.2,False,0.3186351168416575,Voting
4,9,14,3,6,89,0,0,20.75,5,True,False,0.4224989702954405,False,0.5,True,0.5809422357430307,AdaBoost
11,23,65,11,18,566,0,0,50.36363636,35,False,True,0.9601210334886544,True,0.8,True,0.5777765671511591,Voting
23,22,74,4,18,461,3,1,18.60869565,23,False,True,0.9817226893428644,True,0.7,False,0.41042982058964056,AdaBoost
4,13,22,1,12,126,0,0,29.5,6,False,False,0.11571915833244405,False,0.2,False,0.2363617488200215,Voting
3,13,17,1,12,82,0,7,26.33333333,3,False,True,0.9592665300537324,False,0.5,False,0.4911452198913027,Voting
3,12,16,1,12,101,0,2,32.66666667,7,False,True,0.5899575001428207,False,0.5,False,0.445714835697584,Voting
50,46,108,27,20,976,2,0,18.3,8,True,True,0.986050169605774,True,1.0,True,0.9138261943405052,Voting
4,5,9,0,5,30,0,0,6.25,1,False,False,0.0700759821280964,False,0.0,False,0.02276856526424264,Voting
2,14,15,7,7,46,0,0,22.0,3,False,False,0.10846880423200572,False,0.2,False,0.3646456743759312,Voting
2,5,18,2,3,106,0,5,52.0,7,True,True,0.9056484606415696,True,0.9,True,0.7269900282622084,Voting
1,0,2,0,0,10,0,0,3.0,0,False,False,0.0717581355583158,False,0.0,False,0.07516312926512934,Voting
4,9,27,0,9,150,0,0,36.25,11,True,False,0.12713887220075915,False,0.2,False,0.16236340845751446,Voting
12,16,51,2,14,435,1,0,34.75,27,True,True,0.9115566817919314,True,0.9,True,0.6394763402628042,Voting
2,8,14,0,8,46,0,0,22.0,1,False,False,0.08894984581180697,False,0.4,False,0.1991402662422609,Voting
7,9,28,3,6,265,1,0,36.28571429,3,True,False,0.20035444100691704,True,0.6,True,0.5432889511693332,Voting
2,11,16,5,6,50,0,0,24.0,5,True,False,0.4373240998057291,False,0.5,True,0.5834637461297062,AdaBoost
3,9,15,0,9,50,0,0,15.66666667,4,False,False,0.08987860188207078,False,0.5,True,0.5964984090815465,Voting
2,10,23,2,8,114,0,2,56.0,11,True,True,0.5967746031865132,False,0.5,True,0.5519630135857214,Voting
3,8,19,0,8,88,0,0,28.33333333,8,False,False,0.09579712770232536,False,0.2,False,0.3718778502542052,Voting
1,0,2,0,0,6,0,0,3.0,0,False,False,0.07092863425268324,False,0.0,False,0.07238794969040924,Voting
3,8,11,2,6,26,0,0,7.333333333,1,False,False,0.08709085187750866,False,0.0,False,0.13369713359409824,Voting
13,14,45,2,12,382,1,0,28.0,4,False,True,0.7674654298120197,True,0.7,True,0.5135990148734757,Voting
25,26,87,2,24,753,1,0,28.64,16,True,True,0.9821802968743856,True,1.0,True,0.9112130522097692,Voting
6,34,105,2,32,620,0,0,102.0,7,True,True,0.9951854242093972,True,0.8,True,0.951437096190094,Voting
4,13,27,0,13,167,0,0,40.0,5,False,False,0.1394715504933753,False,0.0,False,0.28358278808229803,Voting
8,33,105,5,28,455,0,0,55.875,6,True,True,0.9959821784989518,True,0.9,True,0.9050159927900576,Voting
4,13,29,0,13,222,0,0,51.75,12,False,False,0.15888820571735202,False,0.1,False,0.22905439941942315,Voting
2,6,8,2,4,33,0,0,15.5,3,True,False,0.4061137996892625,False,0.2,False,0.3291407780441013,Voting
2,1,13,1,0,57,0,0,26.0,1,False,False,0.4298035166375416,False,0.4,False,0.4911213291667147,Voting
4,14,29,0,14,156,0,0,37.75,10,False,False,0.13230628014118032,False,0.0,False,0.3036990865007211,Voting
3,12,29,1,11,143,0,0,46.33333333,12,False,False,0.13704448448794626,False,0.2,False,0.3596260806417225,Voting
8,7,18,3,4,79,1,0,8.5,3,True,False,0.12165468400141335,False,0.2,False,0.3803239296095614,Voting
5,23,23,14,9,77,0,0,14.2,2,False,False,0.18716112606887006,False,0.3,False,0.1425258165505581,Voting
61,46,136,25,21,776,2,0,11.55737705,11,True,True,0.9635487122874532,True,0.8,True,0.8686721802374758,Voting
1,2,1,2,0,1,0,0,0.0,1,False,False,0.07207317459504654,False,0.0,False,0.05898839643885057,Voting
4,6,11,0,6,49,0,0,10.75,3,False,False,0.06109845075584811,False,0.2,False,0.268167908844542,Voting
4,9,4,6,3,4,0,0,0.0,1,False,False,0.06417645211136339,False,0.3,False,0.27786817862046265,Voting
