wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
37,19,107,0,30,659,0,16.40540541,False,False,0.3103019404395615,False,0.4,False,0.4194901344374024,AdaBoost
2,3,16,1,1,98,0,48.0,False,False,0.016122675798271147,False,0.0,False,0.040060249341704976,AdaBoost
15,13,64,0,14,411,0,26.0,True,False,0.3801912314984669,False,0.1,False,0.21439088830401576,AdaBoost
2,30,65,29,2,412,3,203.5,False,False,0.3423625710662459,False,0.2,False,0.26934561761899,AdaBoost
8,6,22,1,6,145,0,16.375,False,False,0.024050751592076213,False,0.0,False,0.16003435402447494,AdaBoost
5,6,14,4,4,60,2,10.2,False,False,0.025938466809490763,False,0.0,False,0.11752770490819008,AdaBoost
7,10,63,8,5,1034,0,146.71428569999995,False,False,0.3537710019267346,False,0.4,True,0.5479906021772322,AdaBoost
14,2,19,1,7,97,0,5.5,False,False,0.02315692585254529,False,0.0,False,0.18162408599901966,AdaBoost
20,4,30,2,18,183,0,7.95,False,False,0.017311942709200136,False,0.1,False,0.06345629811511554,AdaBoost
5,13,30,10,3,149,1,28.6,False,False,0.030685298401427818,False,0.0,False,0.11241529969016614,AdaBoost
13,14,35,4,13,204,2,14.53846154,False,False,0.030174304828842938,False,0.0,False,0.07081755000907991,AdaBoost
12,7,63,0,5,939,0,76.33333333,False,False,0.08852657358568156,False,0.3,True,0.5604886916040128,AdaBoost
2,2,18,1,2,99,0,47.5,False,False,0.015801881442248127,False,0.0,False,0.04032155909257077,AdaBoost
5,7,26,6,3,158,0,30.2,False,False,0.02472038981108189,False,0.0,False,0.05048917331959304,AdaBoost
6,27,6,2,6,6,0,0.0,False,False,0.02380434463653209,False,0.1,False,0.3636549031848415,AdaBoost
4,4,5,1,2,17,1,3.0,False,False,0.0233402644595936,False,0.0,False,0.1028691329758558,AdaBoost
11,7,12,2,11,74,1,5.272727273,False,False,0.017715741852287525,False,0.0,False,0.13880976986810264,AdaBoost
12,19,12,6,12,12,0,0.0,False,False,0.017386146080028173,False,0.4,False,0.4651320608459311,AdaBoost
1,7,1,1,1,1,0,0.0,False,False,0.021911108097839204,False,0.0,False,0.028406801194183193,AdaBoost
6,21,6,5,6,6,0,0.0,False,False,0.02157446345167667,False,0.1,False,0.037479294309004825,AdaBoost
2,15,34,14,2,326,2,161.0,False,False,0.32774983850732203,False,0.1,False,0.07543408830509263,AdaBoost
5,10,44,7,5,305,2,59.4,True,False,0.03095496452299297,False,0.4,False,0.4333305481399094,AdaBoost
4,5,8,0,4,20,0,4.0,False,False,0.02054057160121591,False,0.1,False,0.10782854182626816,AdaBoost
5,6,17,2,4,112,0,21.4,False,False,0.021378572607940672,False,0.0,False,0.02441626282287285,AdaBoost
8,3,35,1,4,303,0,36.5,True,False,0.03027157396226823,False,0.1,False,0.05983137554628235,AdaBoost
8,2,13,0,6,69,0,7.375,False,False,0.0200804305619404,False,0.0,False,0.1634481976648925,AdaBoost
5,2,22,1,5,97,0,18.2,False,False,0.022110608608489582,False,0.2,False,0.1678061332870251,AdaBoost
5,3,6,3,5,24,2,3.4,False,False,0.02144671190646056,False,0.0,False,0.21452171447935456,AdaBoost
3,2,6,0,1,21,0,5.666666667,False,False,0.021935926434212258,False,0.0,False,0.1748159254913933,AdaBoost
4,12,5,1,4,24,1,4.5,False,False,0.022667728324360342,False,0.0,False,0.032235207889531145,AdaBoost
4,3,11,2,4,48,0,11.0,False,False,0.01957883969939397,False,0.0,False,0.05403175461324152,AdaBoost
3,3,7,0,3,17,0,4.666666667,False,False,0.020430146929638817,False,0.0,False,0.05898485028328676,AdaBoost
8,8,8,5,8,8,0,0.0,False,False,0.01730029475764327,False,0.1,False,0.1903432789955568,AdaBoost
6,1,7,0,6,34,0,4.333333333,False,False,0.017445411392239173,False,0.2,False,0.1245573898155377,AdaBoost
3,8,20,6,3,155,0,50.0,False,False,0.016587337681790486,False,0.0,False,0.03802280788773876,AdaBoost
3,5,9,4,3,40,2,11.33333333,False,False,0.02338674501195269,False,0.0,False,0.06616367698635503,AdaBoost
1,4,2,3,1,9,0,7.0,False,False,0.01921592998562109,False,0.0,False,0.01898781893953828,AdaBoost
47,15,108,0,45,896,0,17.63829787,False,True,0.7134597359899958,False,0.4,False,0.4348213417739381,AdaBoost
22,16,59,15,22,354,2,14.86363636,False,False,0.04697639534232553,False,0.1,False,0.17225424589393495,AdaBoost
10,17,62,0,5,491,1,47.1,True,False,0.06882881229763597,False,0.2,False,0.4817688557593316,AdaBoost
2,3,3,2,2,14,1,5.0,False,False,0.0210524610284607,False,0.0,False,0.018414891752175262,AdaBoost
5,7,8,3,4,34,0,5.6,False,False,0.02012757790286365,False,0.0,False,0.1502006783108029,AdaBoost
2,6,5,3,2,12,0,5.0,False,False,0.02056910668117085,False,0.0,False,0.07525327487233473,AdaBoost
11,4,21,0,11,68,0,5.0,False,False,0.01948642598117671,False,0.0,False,0.049007987203561726,AdaBoost
59,31,148,31,57,895,1,14.15254237,False,True,0.7308077614976028,False,0.5,True,0.736957328257438,RandomForest
25,10,49,0,25,304,0,10.72,False,False,0.02287992759140196,False,0.1,False,0.21293831332285626,AdaBoost
6,6,36,0,5,165,0,26.16666667,False,False,0.0321050219283248,False,0.0,False,0.12274936836652878,AdaBoost
5,1,22,0,3,103,0,19.2,False,False,0.025117688137582733,False,0.1,False,0.05613793976491751,AdaBoost
3,13,22,11,2,201,3,64.0,False,False,0.02387339094094004,False,0.0,False,0.07741858085910386,AdaBoost
57,56,242,54,27,2550,3,43.49122807,True,True,0.9937581298275124,True,0.6,True,0.8629921873343102,AdaBoost
5,2,6,1,5,36,0,5.4,True,False,0.017697988133090096,False,0.0,False,0.022373673305896114,AdaBoost
13,14,49,4,12,298,0,21.53846154,False,False,0.037729550299239516,False,0.4,False,0.3940384140366154,AdaBoost
2,3,5,2,1,15,0,6.0,False,False,0.02081480622503624,False,0.0,False,0.020861822993766908,AdaBoost
29,21,104,20,22,733,0,24.13793103,True,False,0.3914026963283189,True,0.6,False,0.44683049722078505,RandomForest
1,2,1,0,1,1,0,0.0,False,False,0.020501037044836492,False,0.0,False,0.04266474362371065,AdaBoost
5,4,18,0,4,76,0,13.8,False,False,0.02361323141482732,False,0.1,False,0.09534797258532064,AdaBoost
10,12,14,6,10,51,1,3.9,False,False,0.01984642045310833,False,0.1,False,0.09513707326336232,AdaBoost
21,9,58,0,15,373,0,16.33333333,False,False,0.3762486681093571,False,0.3,False,0.3194522335143563,AdaBoost
3,8,4,0,3,20,0,5.0,False,False,0.02009879242269384,False,0.0,False,0.08324221831703961,AdaBoost
25,8,90,7,21,1160,1,44.84,False,False,0.3724413254067704,True,0.8,False,0.40580098534807857,AdaBoost
2,6,7,4,2,18,0,8.0,False,False,0.02067208458930377,False,0.0,False,0.06136222909162858,AdaBoost
23,7,33,3,15,284,2,10.34782609,False,False,0.027476627563454908,False,0.1,False,0.34850261041795705,AdaBoost
21,12,46,5,10,281,1,12.19047619,False,False,0.376127117224613,False,0.2,False,0.2676696860838277,AdaBoost
22,30,104,25,11,707,1,31.04545455,False,False,0.4571723689077132,False,0.5,False,0.3987342624343167,AdaBoost
21,12,77,0,15,797,0,36.57142857,False,False,0.0856287053175769,False,0.3,False,0.35224338796189963,AdaBoost
9,7,30,7,9,228,0,24.22222222,False,False,0.02358121824228087,False,0.1,False,0.055062145267537436,AdaBoost
12,6,31,5,9,360,1,26.58333333,False,False,0.3618236680132683,False,0.5,False,0.32930982967665545,AdaBoost
3,16,3,1,3,3,0,0.0,False,False,0.022352537573320137,False,0.0,False,0.06050132374994509,AdaBoost
38,21,104,0,29,839,1,20.71052632,True,True,0.7296151300986509,False,0.3,False,0.4825998299983525,Voting
1,34,1,0,1,1,0,0.0,False,False,0.02913651065681975,False,0.0,False,0.02697914317659601,AdaBoost
2,4,5,3,2,21,1,8.5,False,False,0.021270795073967237,False,0.0,False,0.0324852218289302,AdaBoost
11,23,16,4,8,77,3,5.454545455,False,False,0.033122206219327995,False,0.1,False,0.27310894806171704,AdaBoost
3,3,5,0,1,18,1,4.666666667,False,False,0.021131524623934275,False,0.0,False,0.021303167990065156,AdaBoost
2,4,2,2,2,2,0,0.0,False,False,0.01780527694786727,False,0.0,False,0.05528226303533613,AdaBoost
25,6,26,1,25,136,1,3.96,False,False,0.017839781598232442,False,0.2,False,0.02949671988016565,AdaBoost
6,23,6,1,6,6,0,0.0,False,False,0.020318861280481524,False,0.0,False,0.08324027822994867,AdaBoost
8,5,25,5,6,145,0,16.5,False,False,0.023587087927074462,False,0.0,False,0.16008843630297084,AdaBoost
11,43,11,8,11,11,0,0.0,True,False,0.022606182768654837,False,0.1,False,0.29346066657705205,AdaBoost
1,3,2,0,1,5,0,4.0,False,False,0.01766042706044896,False,0.0,False,0.07520951136031785,AdaBoost
3,2,4,0,3,14,0,3.333333333,False,False,0.01733075982953491,False,0.0,False,0.04605937199337052,AdaBoost
10,2,12,0,10,53,0,3.9,False,False,0.016684025813471073,False,0.1,False,0.026137714446509724,AdaBoost
12,35,18,4,12,99,4,6.833333333,False,False,0.06126360194129162,False,0.4,False,0.1566348426174775,AdaBoost
9,4,11,1,9,60,2,5.222222222,False,False,0.02175651174639213,False,0.0,False,0.057479222715744537,AdaBoost
2,3,2,0,2,2,0,0.0,False,False,0.01783009982952293,False,0.0,False,0.11519377434873132,AdaBoost
11,14,24,4,10,107,0,8.272727273,True,False,0.023368759280011992,False,0.0,False,0.3214119919098343,AdaBoost
13,16,26,3,12,243,1,17.23076923,False,False,0.02776373917155027,False,0.1,False,0.3661218337825601,AdaBoost
30,27,78,12,30,543,1,16.8,False,False,0.33985557883374323,False,0.1,False,0.21415681739802625,AdaBoost
2,4,4,3,1,8,0,3.0,False,False,0.0184460743122575,False,0.0,False,0.028668635337071875,AdaBoost
14,10,39,8,13,225,2,14.71428571,False,False,0.03621728859021182,False,0.0,False,0.09753848694442407,AdaBoost
13,28,104,26,8,691,1,52.07692308,False,False,0.4566505947978094,False,0.3,False,0.3557523502765569,AdaBoost
12,9,31,8,10,170,0,12.83333333,False,False,0.025489506750425932,False,0.0,False,0.12125643229880065,AdaBoost
1,7,1,1,1,1,0,0.0,False,False,0.018648591950338897,False,0.0,False,0.06925031961882643,AdaBoost
23,57,23,16,23,23,0,0.0,False,False,0.2871047244262579,False,0.2,False,0.11154566013784832,AdaBoost
15,12,16,3,15,104,1,5.466666667,False,False,0.019459362491313647,False,0.1,False,0.2290553482833943,AdaBoost
9,5,36,3,9,146,0,15.22222222,False,False,0.0274452094898502,False,0.1,False,0.09187792922714656,AdaBoost
21,21,38,4,21,224,1,9.476190476000001,False,False,0.029562828212613832,False,0.0,False,0.2981249228451973,AdaBoost
3,6,18,4,2,67,0,21.33333333,False,False,0.02065306557921953,False,0.0,False,0.02212250068561948,AdaBoost
157,111,312,75,142,2701,12,15.89808917,False,True,0.6605703872460579,True,0.7,True,0.5431329662846178,AdaBoost
14,57,32,0,13,277,0,18.28571429,False,False,0.05989671728711653,False,0.2,False,0.19256212085290872,AdaBoost
5,11,14,3,3,72,1,13.2,False,False,0.0241299607806112,False,0.0,False,0.08884316783751388,AdaBoost
6,11,6,2,6,6,0,0.0,False,False,0.01806193116342249,False,0.0,False,0.037081630696037884,AdaBoost
3,2,5,1,3,22,1,6.0,False,False,0.01944860731796424,False,0.0,False,0.0997124469759636,AdaBoost
25,62,25,8,25,25,0,0.0,False,False,0.29065739824667497,False,0.1,False,0.28073886663091563,AdaBoost
8,11,17,3,8,54,1,5.5,False,False,0.0234173307564549,False,0.0,False,0.173071502658354,AdaBoost
6,9,9,3,5,52,3,7.0,False,False,0.02709746542056075,False,0.1,False,0.2605707541607884,AdaBoost
11,6,12,2,11,78,1,5.6363636360000005,False,False,0.01890571706302991,False,0.0,False,0.05242699562941744,AdaBoost
32,33,84,0,8,670,0,19.78125,False,False,0.21535913533847886,False,0.3,False,0.2554055029839722,AdaBoost
17,6,29,5,17,167,0,8.470588235,False,False,0.3460713201768317,False,0.2,False,0.2577237428005709,AdaBoost
3,7,12,5,1,53,0,16.66666667,False,False,0.0188513240164192,False,0.0,False,0.005843365598552077,AdaBoost
7,54,7,0,7,7,0,0.0,False,False,0.03626331475442257,False,0.1,False,0.09456956840833472,AdaBoost
9,13,38,12,8,197,1,20.66666667,False,False,0.030352515533830324,False,0.1,False,0.36627596069689133,AdaBoost
28,17,70,17,21,488,0,16.21428571,False,False,0.049806859769245086,False,0.1,False,0.10502714665835912,AdaBoost
1,7,1,2,1,1,0,0.0,False,False,0.017285833523971214,False,0.0,False,0.009869837303238356,AdaBoost
6,3,9,1,6,40,0,5.5,False,False,0.014830971433756182,False,0.0,False,0.24013523551905105,AdaBoost
2,4,2,0,2,2,0,0.0,False,False,0.017160709428031353,False,0.0,False,0.00323819787063728,AdaBoost
4,16,79,15,3,435,1,107.5,False,False,0.3997690764069031,False,0.3,False,0.3771213764028537,AdaBoost
4,15,10,0,2,68,3,15.0,False,False,0.03946228151717027,False,0.0,False,0.009415445813005102,AdaBoost
8,27,8,14,8,8,0,0.0,True,False,0.012335607603976407,False,0.1,False,0.1983159879790478,AdaBoost
5,5,56,4,5,334,0,65.0,False,False,0.04026291994798408,False,0.3,False,0.4675949169130987,AdaBoost
14,20,105,0,7,623,0,43.35714286,False,False,0.2267977854140681,False,0.0,False,0.2179281053769412,AdaBoost
6,3,14,2,6,63,1,9.166666667000001,False,False,0.019939594139341887,False,0.0,False,0.07945209864490275,AdaBoost
10,9,38,0,8,197,0,18.3,False,False,0.03774548288411017,False,0.0,False,0.0743791164138916,AdaBoost
1,3,2,2,1,8,0,6.0,False,False,0.015469891503212166,False,0.0,False,0.014260586295970544,AdaBoost
4,2,6,1,4,35,2,7.25,False,False,0.02128140361192596,False,0.0,False,0.14305555995327107,AdaBoost
20,106,45,5,17,124,1,4.85,False,False,0.457306152425655,False,0.2,False,0.15834809167306374,AdaBoost
19,8,19,0,19,19,0,0.0,False,False,0.010504380517192135,False,0.2,False,0.16429491205665495,AdaBoost
2,9,2,3,2,4,0,0.0,False,False,0.016651720572696416,False,0.0,False,0.010703090287516771,AdaBoost
8,9,61,7,6,544,0,66.875,True,False,0.04212258589648291,False,0.2,False,0.4481348097719818,AdaBoost
13,25,69,24,12,420,0,31.30769231,False,False,0.4150920552528281,False,0.2,False,0.15136433741387986,AdaBoost
3,5,5,3,1,18,1,4.666666667,False,False,0.021212280557984253,False,0.0,False,0.02934311832841233,AdaBoost
2,1,4,1,2,10,0,4.0,False,False,0.01607791167988433,False,0.0,False,0.040574197502718144,AdaBoost
4,7,17,2,2,58,1,13.0,False,False,0.030091077819970145,False,0.0,False,0.007662036822001359,AdaBoost
9,3,11,1,9,60,0,5.1111111110000005,False,False,0.012954468560360343,False,0.0,False,0.17402215579055694,AdaBoost
3,11,3,3,3,3,0,0.0,False,False,0.01667217163404895,False,0.0,False,0.011644908967140979,AdaBoost
5,8,5,0,5,5,0,0.0,False,False,0.016639861061005297,False,0.1,False,0.022269567811004837,AdaBoost
3,4,5,1,3,18,0,5.0,False,False,0.016138960206759773,False,0.0,False,0.035148674065730384,AdaBoost
3,3,3,1,3,3,0,0.0,False,False,0.015709467548365285,False,0.0,False,0.03299712778408806,AdaBoost
28,11,72,10,18,719,0,23.57142857,True,False,0.055160949348262885,False,0.3,True,0.5102926592368324,AdaBoost
14,10,34,0,13,207,0,13.21428571,False,False,0.02495177373936184,False,0.1,False,0.07593217353319694,AdaBoost
5,9,20,6,5,89,1,16.4,False,False,0.023320794076968483,False,0.1,False,0.05032663915081262,AdaBoost
4,6,4,0,4,4,0,0.0,True,False,0.016621990909255303,False,0.0,False,0.011854375422102563,AdaBoost
1,4,2,3,1,11,0,8.0,False,False,0.01930324822552577,False,0.0,False,0.03488298079922062,AdaBoost
9,5,29,3,6,157,0,16.22222222,False,False,0.029074663778062476,False,0.1,False,0.1049559423105537,AdaBoost
1,8,1,2,1,1,0,0.0,False,False,0.022555484899977524,False,0.0,False,0.04952290623850281,AdaBoost
12,10,64,10,7,444,1,35.75,True,False,0.06944937258756352,False,0.4,False,0.4729803153724348,AdaBoost
4,6,38,4,2,242,0,59.25,False,False,0.026115100450504813,False,0.0,False,0.10617876835851567,AdaBoost
2,34,2,1,2,7,0,0.0,False,False,0.03017681713482078,False,0.1,False,0.005588434084174082,AdaBoost
17,6,39,4,17,165,1,8.588235294,False,False,0.02441212052411657,False,0.3,False,0.13995055200063589,AdaBoost
3,5,3,2,3,3,0,0.0,False,False,0.020175177816384646,False,0.0,False,0.08020397509319263,AdaBoost
16,8,27,0,16,175,0,9.5,True,False,0.017551511087110557,False,0.0,False,0.35432274543239684,AdaBoost
19,6,64,6,18,636,1,32.15789474,False,False,0.3803491172783135,False,0.5,False,0.3791124974333706,AdaBoost
6,6,13,3,6,55,1,7.833333333,False,False,0.02230291607568007,False,0.0,False,0.14882595938267465,AdaBoost
6,8,23,0,6,143,0,22.5,False,False,0.023907124403482333,False,0.0,False,0.2100288869193927,AdaBoost
4,7,10,5,1,27,1,5.5,False,False,0.027992235786458302,False,0.0,False,0.022929972013658904,AdaBoost
2,4,4,3,2,30,0,11.5,False,False,0.01830343867108884,False,0.0,False,0.04571534106343119,AdaBoost
30,37,68,9,27,513,3,15.86666667,False,False,0.21850072301906232,False,0.1,False,0.14203665569652338,AdaBoost
10,20,61,16,9,192,0,18.2,False,False,0.06315477861107191,False,0.2,False,0.33987115179798016,AdaBoost
8,6,41,0,5,204,0,24.375,False,False,0.04094300145372725,False,0.1,False,0.36658448138461536,AdaBoost
2,6,13,6,2,46,0,22.0,False,False,0.020180115623518523,False,0.0,False,0.058631120800505636,AdaBoost
4,2,6,1,3,23,1,4.5,False,False,0.02200526168443662,False,0.0,False,0.11402116648624668,AdaBoost
2,24,2,0,2,2,0,0.0,False,False,0.02685358306549021,False,0.0,False,0.01762035650231584,AdaBoost
10,9,44,0,9,176,0,16.2,False,False,0.040597200670524455,False,0.3,False,0.17107365583241696,AdaBoost
1,3,2,1,1,5,0,4.0,False,False,0.02067023780701976,False,0.0,False,0.057597029072930774,AdaBoost
7,3,12,1,7,77,4,9.285714286000001,False,False,0.027622202094221296,False,0.0,False,0.1939629520875428,AdaBoost
6,6,40,4,5,227,0,36.66666667,False,False,0.03282688937450134,False,0.3,False,0.2382640271292264,AdaBoost
1,5,1,1,1,1,0,0.0,False,False,0.021938685243646117,False,0.0,False,0.06941083576569636,AdaBoost
4,6,14,3,4,74,0,17.0,False,False,0.020745215468867487,False,0.0,False,0.15559498950881945,AdaBoost
3,7,18,6,3,87,2,27.0,False,False,0.0255307947778196,False,0.0,False,0.06586188258279563,AdaBoost
30,26,132,25,13,1096,0,35.43333333,False,True,0.892539616095033,True,0.6,True,0.5612238254694569,AdaBoost
3,7,12,6,3,64,1,19.33333333,False,False,0.021695228003397325,False,0.0,False,0.01738901113666209,AdaBoost
6,11,13,2,6,44,1,6.0,False,False,0.024434509325433985,False,0.0,False,0.04109889767845013,AdaBoost
1,6,1,2,1,1,0,0.0,False,False,0.02201316590050865,False,0.0,False,0.0977206968730564,AdaBoost
13,8,32,0,13,134,0,9.076923077,False,False,0.02418569416885589,False,0.3,False,0.42646362889840855,AdaBoost
13,13,14,2,12,24,1,0.615384615,False,False,0.018368250679455068,False,0.1,False,0.01494863645614764,AdaBoost
3,10,3,3,3,3,0,0.0,False,False,0.02125984720483204,False,0.0,False,0.008457603920114841,AdaBoost
