dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,0,7,26,0,1,0.390625,1,1,50.75,3.625,False,False,0.28908734297927197,False,0.3,False,0.4262318584533239,AdaBoost
1,0,17,6,11,4,0.45,0,0,12.25,2.0,False,False,0.0935462804845934,False,0.4,False,0.4082132768471292,AdaBoost
1,0,3,1,3,2,0.666666667,0,0,7.5,1.0,False,False,0.04860754466963641,False,0.0,False,0.432494135818006,AdaBoost
1,0,6,61,2,14,0.297619048,0,0,4.428571429,0.9286,False,False,0.07971328628680548,False,0.0,False,0.14697429550789684,AdaBoost
1,0,8,62,2,11,0.229166667,0,0,10.1875,1.3125,False,False,0.08827311902240341,False,0.3,False,0.42595060014232666,AdaBoost
4,17,66,6,66,4,0.666666667,0,0,4.0,0.0,False,True,0.9145509617991932,False,0.4,False,0.24364047363693786,AdaBoost
1,0,4,1,2,6,0.5,0,0,7.0,1.1667,False,False,0.06364153559050455,False,0.4,False,0.38694432985184657,AdaBoost
1,0,3,3,1,3,0.666666667,0,0,41.33333333,4.6667,False,True,0.5007143765103182,False,0.4,False,0.23926676299905705,AdaBoost
2,0,11,25,3,8,0.25,0,0,5.3636363639999995,0.7273,True,False,0.40861064965496413,False,0.2,False,0.4032837524419557,AdaBoost
1,0,2,1,1,2,1.0,0,0,0.0,1.0,False,False,0.03415058633977722,False,0.0,False,0.17149777865407706,AdaBoost
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,True,False,0.22702014443406204,False,0.4833333333333333,False,0.4990882268626386,AdaBoost
2,0,6,3,2,3,0.5555555560000001,0,0,2.333333333,0.6667,True,False,0.05306685729068802,False,0.0,False,0.2628257303766103,AdaBoost
1,0,6,10,3,4,0.45,0,0,11.0,1.6,False,False,0.408398357167977,False,0.2,False,0.35453339214690965,AdaBoost
1,0,17,528,11,33,0.387205387,0,0,0.0,1.0,True,False,0.2788951043935,False,0.2,False,0.39234342100661895,AdaBoost
1,0,5,3,2,3,0.7777777779999999,0,0,0.0,1.0,False,False,0.04190602313676186,False,0.2,False,0.0974201018293579,AdaBoost
1,0,32,0,3,3,0.4166666670000001,0,0,27.42857143,0.7143,False,False,0.037892184482668304,False,0.1,False,0.4015333658782799,AdaBoost
2,0,13,0,1,3,0.37142857100000004,1,1,35.25,0.875,True,False,0.042960522014685455,False,0.0,False,0.21914494878268315,AdaBoost
1,0,5,3,0,3,0.533333333,0,0,5.333333333,0.6667,False,False,0.04351801084038908,False,0.0,False,0.2295079819410785,AdaBoost
3,0,14,7,1,5,0.25,0,0,36.63636364,1.8182,False,False,0.11681231376063887,False,0.1,False,0.30119998251639035,AdaBoost
4,0,5,1,2,1,0.666666667,1,1,11.0,0.5,True,False,0.04429558923047716,False,0.3,False,0.21331756302337335,AdaBoost
1,0,9,0,4,1,1.0,0,0,0.0,1.0,False,False,0.032044945850320555,False,0.1,False,0.05820759634012996,AdaBoost
1,0,4,0,1,4,0.583333333,0,0,8.5,0.75,True,False,0.04653129320971292,False,0.2,False,0.2237643931636577,AdaBoost
3,13,22,30,15,10,0.226190476,1,3,8.333333332999999,0.8333,False,True,0.8164509644273613,True,0.7,True,0.5128057763678499,AdaBoost
3,0,21,59,9,13,0.26153846199999997,1,3,13.64285714,1.1429,False,False,0.057488180541204914,True,0.6,False,0.4276390306147437,AdaBoost
4,8,13,0,11,3,0.625,0,0,8.25,0.5,True,False,0.469740722338402,False,0.1,False,0.25776876115360603,AdaBoost
4,0,8,3,0,1,0.666666667,2,2,15.33333333,0.6667,False,False,0.02912745586824175,False,0.1,False,0.1641376227206589,AdaBoost
1,0,7,0,7,1,1.0,0,0,0.0,1.0,False,False,0.036066414222836185,False,0.1,False,0.08184202239760383,AdaBoost
1,1,3,0,1,1,0.75,1,1,20.0,1.0,False,False,0.3652476107446581,False,0.2,False,0.18491909260700504,AdaBoost
0,0,21,9,2,3,0.457142857,0,0,50.33333333,1.6667,False,False,0.05074673173366275,False,0.0,False,0.14857327937040288,AdaBoost
1,0,2,0,1,1,1.0,0,0,6.0,0.0,False,False,0.021798793891548842,False,0.1,False,0.17174585438043935,AdaBoost
2,0,8,15,2,7,0.35714285700000004,1,20,5.0,0.8571,False,False,0.0007622564531928632,False,0.0,False,0.053909786526529085,AdaBoost
1,0,9,0,2,2,0.666666667,0,0,18.66666667,0.3333,False,False,0.3665682542034112,False,0.5,False,0.4798154021446084,AdaBoost
1,1,15,45,4,12,0.35,0,0,9.933333333,1.2,False,False,0.08213074816364935,False,0.3,False,0.3772007481655478,AdaBoost
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False,False,0.033436452553231,False,0.0,False,0.03702082028996572,AdaBoost
3,0,9,4,2,2,0.3,0,0,5.6,0.6,False,False,0.0715368477199543,False,0.1,False,0.2853513588970162,AdaBoost
1,0,7,6,1,4,0.625,0,0,8.75,0.75,False,False,0.042644883939742965,False,0.1,False,0.1909337486668,AdaBoost
3,0,10,8,0,3,0.4,1,3,11.2,0.8,False,False,0.031839425626202955,False,0.0,False,0.16681730604787992,AdaBoost
1,0,6,3,2,2,0.333333333,0,0,9.333333332999999,0.6667,False,False,0.052777633878695024,False,0.2,False,0.2584506855371889,AdaBoost
4,0,11,73,3,13,0.257142857,1,16,15.57142857,1.5,False,False,0.0052060478376887535,False,0.4,False,0.2525848557011569,AdaBoost
2,6,26,105,12,22,0.113756614,1,3,8.703703704,1.0741,True,False,0.2484347289644503,False,0.3,False,0.4447080124192842,AdaBoost
2,2,7,15,2,4,0.28571428600000004,0,0,5.1428571430000005,1.0,False,False,0.09059916054986426,False,0.2,False,0.3094994669691841,AdaBoost
3,0,8,0,2,2,0.4,0,0,12.66666667,1.0,False,False,0.41230984464567694,True,0.6,True,0.5546389708276682,Voting
3,0,1,0,0,3,0.625,2,2,4.0,0.75,False,False,0.3633728522211966,False,0.0,False,0.2050200400167245,AdaBoost
1,0,8,1011,5,48,0.1825,0,0,13.06,1.5,False,True,0.5095004732403506,True,0.6,True,0.5001663189752029,AdaBoost
1,0,14,0,13,1,1.0,0,0,0.0,1.0,True,False,0.03788421008131567,False,0.2,False,0.12650841444601538,AdaBoost
1,0,4,1,1,3,0.5,0,0,14.33333333,1.0,False,False,0.05459064926031879,False,0.3,False,0.40860661231192336,AdaBoost
4,0,5,15,1,5,0.444444444,0,0,6.0,0.5,False,False,0.08095789573198058,False,0.1,False,0.06851966128612334,AdaBoost
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False,False,0.023681360780541415,False,0.0,False,0.11475258086793068,AdaBoost
1,0,7,0,5,1,1.0,0,0,0.0,1.0,False,False,0.034106169474294235,False,0.0,False,0.05871216486756621,AdaBoost
1,0,20,178,15,12,0.276315789,0,0,42.95,2.85,False,True,0.5683356176413571,True,0.9,True,0.6229403065381257,AdaBoost
1,0,6,1,2,1,0.5,0,0,9.5,0.5,False,False,0.04165286981255028,False,0.1,False,0.34634154747193713,AdaBoost
5,0,4,0,2,2,0.666666667,0,0,11.0,0.5,True,False,0.07879592280951815,False,0.2,False,0.2630091926989344,AdaBoost
1,0,38,1,37,2,0.875,0,0,0.0,1.0,False,False,0.4168801811698666,False,0.4,True,0.6689222616310444,AdaBoost
1,0,4,0,1,4,0.5,0,0,15.25,1.0,False,False,0.056104504303682405,False,0.2,False,0.23967668571457446,AdaBoost
1,0,6,6,5,4,0.5625,0,0,0.0,1.0,False,False,0.05528603558426296,False,0.2,False,0.2578936806597553,AdaBoost
1,0,4,1,2,2,0.75,0,0,3.0,0.5,False,False,0.03469462007680075,False,0.0,False,0.04269687558140356,AdaBoost
5,1,9,1,2,1,0.666666667,1,1,12.0,0.5,False,False,0.05496229997712828,False,0.3,False,0.3378195971566443,AdaBoost
2,1,15,142,1,12,0.2,1,2,12.57142857,1.0,False,False,0.054110000754250764,False,0.5,False,0.3787925452486436,AdaBoost
3,0,7,1,0,1,0.666666667,1,1,8.5,0.5,False,False,0.03325929462935393,False,0.2,False,0.111235904873123,AdaBoost
1,0,4,1,1,2,1.0,0,0,3.5,0.5,False,False,0.026742759622553014,False,0.0,False,0.04526179660732725,AdaBoost
1,0,7,22,3,4,0.35416666700000005,0,0,11.125,0.875,False,False,0.059810171880898565,False,0.1,False,0.345252136583871,AdaBoost
3,0,10,0,1,2,0.5,1,1,44.0,1.0,False,False,0.050583922731154,False,0.5,False,0.3658992121540394,AdaBoost
2,0,7,0,2,4,0.45,1,1,6.25,0.5,False,False,0.3713556706230549,True,0.6,False,0.2547565550547744,AdaBoost
2,0,4,7,0,4,0.375,1,1,10.5,1.0,False,False,0.05008120057539305,False,0.3,False,0.22455228131236568,AdaBoost
1,2,7,21,2,3,0.666666667,0,0,18.0,1.8571,False,False,0.4136045174412378,False,0.4,False,0.3967931912678368,AdaBoost
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False,False,0.033436452553231,False,0.0,False,0.03702082028996572,AdaBoost
1,0,10,1,1,2,0.666666667,0,0,45.33333333,2.0,False,False,0.06586869129134593,False,0.4,False,0.4157193231559422,AdaBoost
3,0,5,0,1,4,0.533333333,1,1,5.6,0.6,True,False,0.044810261606335305,False,0.2,True,0.5473386593526339,AdaBoost
1,1,11,112,7,14,0.4875,0,0,16.0625,0.875,True,False,0.411383718014421,False,0.5,False,0.4029896661197575,AdaBoost
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.0211929133220562,False,0.1,False,0.06835067013047652,AdaBoost
1,0,16,0,15,1,1.0,0,0,0.0,1.0,False,False,0.03874269221959969,False,0.3,False,0.17114932917753828,AdaBoost
3,0,14,235,4,23,0.18803418800000002,1,3,10.46153846,1.1923,False,False,0.07551844683484148,False,0.2,False,0.4202749778540233,AdaBoost
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False,False,0.023681360780541415,False,0.0,False,0.11475258086793068,AdaBoost
3,0,16,7,2,3,0.4,1,1,16.5,1.0,False,False,0.05062688520028322,False,0.3,False,0.42047164133163295,AdaBoost
4,0,7,13,1,10,0.375,1,1,7.0,0.8,False,False,0.07486802304232489,False,0.0,False,0.051510027802097215,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.05244540653357449,False,0.0,False,0.0633211220801486,AdaBoost
5,3,12,0,3,8,0.296296296,0,0,20.77777778,1.1111,False,False,0.4963724879786735,True,0.6,False,0.4704646500962696,AdaBoost
3,4,11,10,4,1,0.44,0,0,5.6,0.2,True,False,0.09604760503568947,False,0.1,False,0.2402274036782089,AdaBoost
1,0,3,97,0,17,0.17222222199999998,0,0,7.833333333,0.8333,False,False,0.0912066692910991,False,0.4,False,0.257929558059648,AdaBoost
3,0,7,15,1,2,0.4166666670000001,0,0,22.0,1.0,False,False,0.0781896086772682,False,0.4,True,0.5481770756901657,AdaBoost
2,0,2,9,1,6,0.5,0,0,5.666666667,0.8333,False,False,0.06540638201793171,False,0.1,False,0.05726529691541711,AdaBoost
0,0,5,1,1,2,0.75,0,0,28.0,0.5,False,False,0.024216257712875718,False,0.0,False,0.0907194485784805,AdaBoost
1,2,9,9,4,10,0.28571428600000004,0,0,7.3,1.2,False,False,0.4248672881363211,False,0.1,False,0.3808688636294372,AdaBoost
3,0,12,3,0,1,0.666666667,1,3,21.33333333,0.6667,False,False,0.023089652053662004,False,0.0,False,0.13696823627419047,AdaBoost
1,0,4,0,1,6,0.333333333,0,0,6.166666667,0.8333,False,False,0.3944111509968757,True,0.7,True,0.646826873619127,Voting
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,False,False,0.3943142806750364,True,0.7,True,0.8840823922272735,Voting
1,0,7,36,4,9,0.311111111,0,0,0.0,1.0,False,False,0.07285909084896093,False,0.3,False,0.1128952539503388,AdaBoost
1,0,38,6646,14,113,0.081822203,0,0,9.883333333,1.5417,False,True,0.9958480242213176,True,0.8,True,0.6373514769777634,AdaBoost
3,0,4,35,1,10,0.590909091,2,5,4.545454545,0.8182,False,False,0.023650775299662308,False,0.0,False,0.10343937811436546,AdaBoost
2,0,8,144,2,20,0.20625,0,0,6.05,0.95,False,False,0.10203209148797776,False,0.1,False,0.36066229368076747,AdaBoost
2,0,8,99,3,15,0.253333333,1,20,4.733333333,0.9333,False,False,0.002460972165154019,False,0.1,False,0.1345219454383008,AdaBoost
3,0,6,8,1,4,0.4,1,1,6.0,0.8,False,False,0.05796068472125945,False,0.0,False,0.31310148186596803,AdaBoost
1,0,6,4,1,4,0.5,0,0,4.25,0.75,False,False,0.047309570798558215,False,0.0,False,0.13986813272336962,AdaBoost
2,0,3,4,2,2,0.444444444,1,1,24.5,0.5,False,False,0.0405174560106913,False,0.1,False,0.08458181987057603,AdaBoost
2,0,73,41,72,8,0.37037037,1,1,23.9,1.8,False,True,0.7993812666469715,False,0.5,True,0.5254336807237896,RandomForest
1,0,18,314,3,27,0.144827586,0,0,5.620689655,0.9655,False,False,0.17714822051370546,False,0.3,False,0.4956095883648339,AdaBoost
0,1,7,4,5,4,0.5,0,0,4.75,0.5,False,False,0.0425280001168707,False,0.3,False,0.2271364403181725,AdaBoost
2,1,24,1296,9,44,0.240566038,1,1,10.49056604,1.2642,True,True,0.8234345670164377,True,0.6,True,0.5368119673274421,AdaBoost
2,2,6,0,2,4,0.666666667,1,1,5.166666667,0.8333,False,False,0.04642232697450702,False,0.3,False,0.1895958456901052,AdaBoost
3,0,4,8,1,4,0.36,1,2,6.0,0.6,False,False,0.04928213581414685,False,0.1,False,0.3065996087599308,AdaBoost
1,7,11,24,7,5,0.444444444,0,0,12.66666667,1.0,False,False,0.4423654249886989,False,0.4,False,0.3768808412297709,AdaBoost
5,0,4,0,1,3,0.5555555560000001,0,0,9.666666667000001,0.6667,True,False,0.09169726703381488,False,0.0,False,0.15756422019195346,AdaBoost
1,0,6,3,4,2,0.833333333,0,0,6.666666667,1.0,False,False,0.039367654463057206,False,0.1,False,0.1589536922644495,AdaBoost
1,2,10,49,4,9,0.25974026,0,0,9.636363636,1.0,False,False,0.08585890348136972,False,0.3,False,0.41413489189133934,AdaBoost
3,0,4,1,0,1,0.75,1,1,3.5,0.5,True,False,0.368153829713712,True,0.7,True,0.8569620094171905,AdaBoost
3,0,9,0,1,4,0.4375,0,0,19.4,0.6,True,False,0.0627013668803194,False,0.0,False,0.4905593410030588,AdaBoost
1,0,2,3,1,0,0.5,0,0,20.0,0.6667,False,False,0.04548250997927896,False,0.1,False,0.2494135590028736,AdaBoost
1,0,9,1,8,2,0.75,0,0,0.0,1.0,False,False,0.04647234463856004,False,0.1,False,0.08764604851255567,AdaBoost
3,0,8,0,3,5,0.47619047600000003,1,1,4.714285714,0.7143,True,False,0.05317733377918362,False,0.1,False,0.2085432298581444,AdaBoost
1,0,7,0,5,1,1.0,0,0,0.0,1.0,False,False,0.033478301721842935,False,0.0,False,0.12072077059585234,AdaBoost
1,0,16,190,3,20,0.225,0,0,0.0,1.0,False,False,0.0808281030741831,False,0.5,True,0.5038282399480072,AdaBoost
1,0,2,0,1,1,1.0,0,0,6.0,0.0,False,False,0.020472845703609164,False,0.1,False,0.1818842197267153,AdaBoost
1,0,11,11,4,7,0.4,0,0,8.0,0.5714,False,False,0.3824280699972149,False,0.1,False,0.4506907151753796,AdaBoost
2,27,32,0,27,6,0.34375,1,1,4.75,0.875,False,True,0.9549115387029868,False,0.5,True,0.6031911204742542,RandomForest
1,0,20,66,7,11,0.333333333,0,0,5.166666667,0.9167,True,False,0.059913718952199185,False,0.2,False,0.22431053556432828,AdaBoost
1,0,8,6,5,4,0.75,0,0,0.0,1.0,False,False,0.04435974032661647,False,0.2,False,0.31057749072622937,AdaBoost
1,1,8,112,2,12,0.26666666699999997,0,0,8.125,1.25,True,False,0.08924870335480918,False,0.5,True,0.5058234707232487,AdaBoost
1,0,7,2,1,4,0.4375,0,0,12.2,1.4,False,False,0.39659037917090734,False,0.3,False,0.33190695724050506,AdaBoost
3,0,32,245,19,24,0.16923076899999998,1,6,11.51851852,1.0741,False,False,0.3838698031753149,False,0.5,False,0.390602404170204,AdaBoost
1,0,11,21,0,9,0.21111111100000002,0,0,8.3,0.9,False,False,0.3954982997697984,False,0.3,False,0.4983858973303574,AdaBoost
2,0,24,641,4,37,0.155263158,1,1,10.25641026,0.9744,False,False,0.4254341581701087,False,0.4,False,0.3676417586415891,AdaBoost
0,2,11,21,2,1,0.6,0,0,22.14285714,2.4286,False,False,0.0797747589875097,False,0.2,False,0.3227797826117263,AdaBoost
1,1,15,81,7,18,0.31578947399999996,0,0,23.78947368,2.1053,True,False,0.4574037489616016,True,0.6,True,0.6266546235484252,AdaBoost
2,0,14,102,4,16,0.1953125,0,0,7.375,0.9375,False,False,0.0903574779416653,False,0.3,False,0.3827243054856943,AdaBoost
2,0,3,1,2,1,1.0,0,0,13.5,0.5,False,False,0.36469357565388394,False,0.2,False,0.3272523968629188,AdaBoost
2,0,5,4,4,2,0.444444444,1,1,9.5,0.5,False,False,0.04328177622170453,False,0.2,False,0.33489609282262073,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.06157135998736071,False,0.0,False,0.04687260997044215,AdaBoost
0,2,10,6,2,1,0.5,0,0,20.0,2.0,False,False,0.07247126167012258,False,0.2,False,0.22246101614915734,AdaBoost
3,0,15,0,1,5,0.35714285700000004,1,1,15.375,0.875,False,False,0.3844036734576236,False,0.2,False,0.3960322402680124,AdaBoost
3,0,4,111,0,16,0.311111111,1,2,9.777777777999999,1.2778,False,False,0.07742677839431981,False,0.0,False,0.2983404180942484,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.06157135998736071,False,0.0,False,0.04687260997044215,AdaBoost
2,0,14,198,8,16,0.217687075,1,3,4.619047619,0.8571,False,False,0.055875179104345064,False,0.0,False,0.055461226479664436,AdaBoost
1,0,0,6,0,1,0.375,0,0,18.75,2.0,False,False,0.09089366107250793,False,0.2,False,0.2387017708664242,AdaBoost
3,0,4,1,0,1,0.666666667,1,1,4.5,0.5,False,False,0.0380009651134558,False,0.0,False,0.08558307537381232,AdaBoost
3,0,15,37,3,10,0.314285714,1,1,13.2,1.4,True,False,0.4083387364766105,False,0.5,False,0.4942819604654484,AdaBoost
3,0,3,3,1,1,0.7777777779999999,1,2,7.333333333,0.6667,False,False,0.031969690047609634,False,0.2,False,0.294689649754836,AdaBoost
1,1,9,0,4,24,0.258241758,0,0,8.038461538,1.0,True,False,0.42993116668158654,True,0.6,True,0.5557611563878071,AdaBoost
1,0,5,0,1,2,0.666666667,0,0,18.0,0.5,True,False,0.3673143132368953,False,0.4,True,0.6208272292390171,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.06157135998736071,False,0.0,False,0.04687260997044215,AdaBoost
1,0,3,1,1,1,0.5,0,0,28.0,1.6667,True,False,0.06655888899684692,False,0.2,False,0.16705759730322198,AdaBoost
2,4,14,34,6,9,0.23076923100000002,0,0,13.23076923,1.1538,True,False,0.4812705552891922,True,0.7,False,0.3983891252021721,RandomForest
1,0,40,1,40,2,1.0,0,0,0.0,1.0,True,False,0.3970512194174844,False,0.1,False,0.2178699281001042,AdaBoost
3,0,7,3,1,4,0.375,1,1,6.5,0.8333,False,False,0.05882979971329842,False,0.0,False,0.4161156151115801,AdaBoost
2,0,7,9,3,6,0.444444444,1,20,4.5,0.8333,False,False,0.0016247931862737755,False,0.1,False,0.06132440035380705,AdaBoost
2,0,25,104,8,13,0.18125,1,1,16.52941176,0.7647,True,False,0.3888831616292436,False,0.2,False,0.4330800060202272,AdaBoost
3,0,6,0,1,3,0.533333333,0,0,8.333333332999999,0.6667,True,False,0.39685451907938624,False,0.3,False,0.4346406979068035,AdaBoost
1,0,182,231,182,22,0.25974026,0,0,0.0,1.0,True,True,0.9113697475074608,True,0.8,True,0.8577366084733923,AdaBoost
2,0,9,15,0,4,0.25,1,2,14.0,1.0,False,False,0.046111281483491716,False,0.1,False,0.21420343561784266,AdaBoost
1,0,3,0,1,2,0.75,0,0,4.5,0.5,False,False,0.03378599335662399,False,0.0,False,0.09320076703625016,AdaBoost
2,0,2,0,1,1,1.0,0,0,13.0,0.0,False,False,0.024821116277143576,False,0.0,False,0.16121068727165702,AdaBoost
3,0,14,57,4,10,0.24107142899999998,0,0,11.66666667,1.0667,False,False,0.0982212994089452,False,0.2,False,0.4002003150888803,AdaBoost
5,0,13,24,1,8,0.222222222,1,1,4.875,0.875,False,False,0.09295576266039136,False,0.1,False,0.3539955084433668,AdaBoost
3,0,25,22,1,5,0.272727273,2,3,31.16666667,0.9167,False,False,0.027050856615755847,False,0.0,False,0.11662673942929805,AdaBoost
1,0,6,0,1,4,0.45833333299999995,0,0,20.75,1.25,False,False,0.0578389650428405,False,0.1,False,0.3537800563433125,AdaBoost
4,0,17,72,7,16,0.21875,1,1,8.0625,0.8125,False,False,0.09113168668838928,False,0.2,False,0.21839342656771174,AdaBoost
1,1,3,3,3,6,0.666666667,0,0,8.0,0.8333,True,False,0.05184509156527687,False,0.3,False,0.2763447264698051,AdaBoost
1,0,16,24,1,1,0.4166666670000001,1,4,25.44444444,2.1111,False,False,0.03063046689033994,False,0.0,False,0.24898323060815425,AdaBoost
4,1,5,0,2,1,1.0,0,0,8.0,0.0,False,False,0.041272144937100776,False,0.1,False,0.12122254955965756,AdaBoost
3,0,24,4,2,3,0.583333333,0,0,36.25,1.0,False,False,0.046003311078009056,False,0.3,False,0.4087559634216651,AdaBoost
3,1,20,55,3,11,0.20535714300000002,1,2,12.14285714,1.2143,False,False,0.0680513657166818,False,0.2,False,0.34139475598936125,AdaBoost
2,0,11,17,6,6,0.375,0,0,11.57142857,1.0,False,False,0.4085492479843629,False,0.3,False,0.4377028970963173,AdaBoost
1,0,12,0,2,2,0.571428571,0,0,32.5,0.5,True,False,0.03191091155026705,False,0.1,False,0.07470079187833853,AdaBoost
1,0,4,39,0,13,0.26153846199999997,0,0,15.14285714,0.8571,False,False,0.0685091455867713,False,0.1,False,0.118365393402732,AdaBoost
6,0,14,10,1,4,0.3666666670000001,0,0,14.4,0.6,False,False,0.1048480390973648,False,0.1,False,0.14547441079833096,AdaBoost
1,0,5,3,1,3,0.666666667,0,0,18.33333333,1.3333,False,False,0.0493395979361699,False,0.0,False,0.2443149941603191,AdaBoost
3,0,3,1,1,1,0.666666667,1,2,7.5,0.5,False,False,0.03345652893314841,False,0.0,False,0.17975242434757968,AdaBoost
1,0,2,1,0,2,0.75,0,0,2.5,0.5,False,False,0.03370272726708231,False,0.1,False,0.139932994024441,AdaBoost
4,0,11,0,1,1,0.291666667,2,4,43.55555556,0.7778,False,False,0.031900435851846626,False,0.3,False,0.22094403410713914,AdaBoost
4,1,9,1,5,2,0.75,0,0,1.5,0.5,False,False,0.40131843961879343,False,0.3,False,0.2787562245465401,AdaBoost
1,0,10,0,5,10,0.257142857,0,0,12.3,0.9,False,False,0.4019968375818349,True,0.6,True,0.5233999384046969,Voting
2,0,6,3,3,1,0.5,1,1,19.0,1.3333,False,False,0.05326910823379085,False,0.0,False,0.43178714142688585,AdaBoost
3,0,6,1,0,1,0.666666667,1,2,18.5,0.5,False,False,0.3626454864522663,False,0.3,False,0.3777248743640519,AdaBoost
2,2,14,5,5,4,0.3666666670000001,0,0,14.66666667,1.1667,True,False,0.4206829337584316,False,0.3,False,0.4169301287101885,AdaBoost
2,0,10,178,4,16,0.22142857100000002,1,3,4.65,0.85,False,False,0.052958349818849684,False,0.1,False,0.09020188278848283,AdaBoost
2,0,3,1,2,1,1.0,0,0,19.0,0.5,False,False,0.3641265669643913,False,0.2,False,0.32259541880415804,AdaBoost
1,0,7,29,2,9,0.444444444,0,0,9.5,1.6,True,False,0.07482436761911948,False,0.2,False,0.2015115524534983,AdaBoost
3,0,6,61,1,14,0.3666666670000001,1,3,10.0,0.9333,False,False,0.051608477538329256,False,0.1,False,0.15119258294068302,AdaBoost
1,0,11,45,8,10,0.255555556,0,0,0.0,1.0,False,False,0.08527381442267949,False,0.4,False,0.39898493544501656,AdaBoost
4,0,6,15,0,5,0.3,0,0,6.5,0.3333,False,False,0.4154252683919631,False,0.1,False,0.2747597322933452,AdaBoost
1,0,6,6,4,4,0.55,0,0,0.0,1.0,False,False,0.05894812281973099,False,0.2,False,0.2345177825994355,AdaBoost
3,0,8,0,1,2,0.5,0,0,48.5,0.5,False,False,0.06255603879158106,False,0.4,False,0.2538657390195373,AdaBoost
3,0,8,3,0,2,0.666666667,1,1,12.0,0.6667,False,False,0.03697166409268128,False,0.0,False,0.15898967010054232,AdaBoost
3,0,4,10,1,3,0.46666666700000003,1,1,5.2,0.8,False,False,0.051877345341951965,False,0.0,False,0.07837315241867153,AdaBoost
1,0,1,0,1,4,0.625,0,0,11.5,0.75,False,False,0.052537673836228385,False,0.3,False,0.32521536442393056,AdaBoost
1,0,4,6,1,4,1.0,0,0,3.75,0.75,False,False,0.035974882838978955,False,0.075,False,0.1571048428936933,AdaBoost
1,0,28,17,2,3,0.28571428600000004,1,4,24.71428571,0.5714,False,False,0.011444379923744571,False,0.1,False,0.16667399434037514,AdaBoost
